Plant_ID,Flower_1_g,Flower_2_g,Flower_3_g,Flower_4_g,Flower_5_g,Flower_6_g,Flower_7_g,Flower_8_g,Flower_9_g,Flower_10_g,Flower_Count,Veg_Mass,fl_average,total_fl_mass
H3.AMSMEN.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.5128,0.00476,0.00952
A2.AMSMEN.1,0.0052,0.0059,0.0028,0.0044,0.004,0.006,0.0043,0.0051,0.0053,0.0047,591,1.37,0.00477,2.81907
A4.AMSMEN.1,0.0046,0.0027,0.0036,0.0045,0.003,0.003,0.0052,0.002,0.0036,0.0046,482,8.54,0.00368,1.77376
B8.AMSMEN.1,0.0011,0.0029,0.0036,0.003,0.002,NA,NA,NA,NA,NA,16,1.24,0.00252,0.04032
G4.AMSMEN.1,0.0027,0.0028,0.0101,0.002,0.0078,0.0026,0.0098,0.0025,0.0024,0.0049,72,2.0989,0.00476,0.34272
I3.AMSMEN.1,0.0038,0.0045,0.0034,0.0047,0.0046,0.0036,0.0044,0.0056,0.0072,0.0024,39,1.07,0.00442,0.17238
J7.AMSMEN.1,0.0043,0.0045,0.0038,0.0052,0.0039,0.0052,0.0041,0.0037,0.0047,0.004,97,2.3587,0.00434,0.42098
