Plant_ID,rgr_h_FM,rgr_h_MA,rgr_h_AM,rgr_h_MJ,rgr_l_FM,rgr_l_MA,rgr_l_AM,rgr_l_MJ,rgr_v_FM,rgr_v_MA,rgr_v_AM,rgr_v_MJ
D3.BROARE.1,NA,0.011215741220707098,0.0019164686524153238,NA,NA,0.0031770059934774922,0.027869503023994022,NA,NA,0.0656250948930128,-0.032334810564574754,NA
E4.BROARE.1,NA,0.008636956666924166,-6.279687633935843e-4,NA,NA,0.0044510464208174175,0.0063755300375488615,NA,NA,0.08112868071639617,-0.00889843145611593,NA
E8.LUPBIC.1,0.02260717941931227,0.038837832397610836,NA,NA,0.05331901388922656,0.0130795196163924,NA,NA,0.09270453049218953,0.06020478471674605,NA,NA
E7.LUPBIC.1,0.04225431879492729,0.05262634900493147,0.004008566251879486,NA,0.03524195122592904,0.04629304920288138,0.01610892540976283,NA,0.09767813651835565,0.1238211296108845,0.015985489388164752,NA
H1.ESCCAL.1,0.04969177551442416,0.04739014158817816,0.02896179343629745,-0.01855589689588995,0.02543410839884743,0.009275463723726451,0.012833250017444937,0.01239686396190054,0.07513897300434838,0.03777988691683342,0.08456595809860785,0.02694201354375409
D8.ESCCAL.1,0.06016309587105097,0.03662040962227032,0.022528557052970192,0.001610418715180664,0.018079404949722298,0.03858175962303476,0.015837672143940298,0.027036403491009872,0.11285515545636855,0.04361109398833927,0.06761801074809054,0.014377542218510817
J1.LUPBIC.1,0.011507282898071236,0.05327337788245079,NA,NA,0.06016309587105097,-0.0036807198642619943,NA,NA,0.04457442582544996,0.11408307004042934,NA,NA
E6.ESCCAL.1,0.0422543187949273,0.059542796467688085,0.005267794210636119,0,0.026659506944613276,0.021186436657711957,0.026196185834153358,0.041394828860592044,0.09891992410683191,0.08400365074933022,0.05399837547639308,0.04863715207521668
I3.ESCCAL.1,0.06636146182326129,0.05383645617940949,0.0048539003610239325,-0.017454093772153186,0.043079659622432626,0.018584597117084156,0.030441791217102453,-0.03850817669777477,0.13518550665647938,0.08683368772201236,0.03736472712386139,-0.019008196663398022
I8.ESCCAL.1,0.05747992544407502,0.03877169366018936,0.019778785761373874,0.005853361980990352,0.07847230633343641,0.00958940241505936,0.017901687197078055,0.04955544662806171,0.11478937664698366,0.07972331733934848,0.05371011128366855,0.04592658739913712
J3.LUPBIC.1,0.027725887222397813,0.061362803942334815,0.015976998982241742,NA,Inf,0.059903831630689415,0.04779296960767585,NA,0.10793923000344238,0.14815608189556212,0.06742270061372421,NA
J7.ESCCAL.1,0.047146199853665846,0.056960773639509486,0.010571421270500847,0.001883419537537851,0.03822045780109746,0.004616156246473333,0.028014779884672124,-0.009171097242191598,0.06788427871370802,0.09725410394939354,0.06730540740464397,-0.02011936430543779
J5.ESCCAL.1,0.04928574725170529,0.027574661881202306,0.02331718689819439,-0.014962940765754674,0.030150872095055216,0.006603409177100214,0.037598386379318637,0.023133009924464185,0.11624480459457218,0.06449336445268347,0.07945410207486234,-0.045253076773394026
J8.ESCCAL.1,0.05821148930427368,0.04171878333538563,0.0105460520107425,-0.020000151890633717,0.026157058696266552,0.016212306044223995,0.02198590338080055,0.013837068684666744,0.11459919788398935,0.0799583643981272,0.040901267194456636,-0.014506103621945796
G1.CLAPUR.1,0.047301195767529905,0.04775819739649165,0.0036145307202776976,NA,0.05595487275445505,0.046193357465237665,-0.02063537872844241,NA,0.11976879661730418,0.12020308272269077,0.024796977229957794,NA
D3.AVEBAR.1,0.022001853476770875,0.06056924257374483,0.03730610520346027,NA,0.09591581091193482,0.01641588283659314,-0.01228682145782317,NA,0.2368273746018774,0.12092592253796992,0.0795065021180188,NA
G7.DANCAL.1,NA,NA,NA,0.00959587141020814,NA,NA,NA,0,NA,NA,NA,-0.038395517091095815
H6.DANCAL.1,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,-0.06121846367398319
E3.DANCAL.1,NA,NA,NA,0.012692739832467787,NA,NA,NA,-0.015141161707988463,NA,NA,NA,0.011210062097378492
J2.DANCAL.1,NA,NA,NA,-0.012441514634959508,NA,NA,NA,-0.017709065085327,NA,NA,NA,-0.006242407495149833
E1.DANCAL.1,NA,NA,NA,-0.031901884398437656,NA,NA,NA,-0.021340268847798133,NA,NA,NA,-0.04704304610642613
J5.EROCIC.1,0.08059612082169058,0.0321756067869112,-0.005043853698616772,NA,0.016218604324326584,0.006973235978569053,0.03137885722107989,NA,0.18307854376391638,0.07949892828627958,0.02442639789568496,NA
G3.ESCCAL.1,0.05988058033437503,0.03711849600167643,0.017063754237384272,-0.006141215244434648,0.026868036223713025,0.01021935252819253,0.026680742747306786,0.0504198362169667,0.14267253642561734,0.0410421469788583,0.07763493625461282,0.004494069446069165
E2.BROMAD.1,NA,0.06328429590233772,NA,NA,NA,-0.011825681073338973,NA,NA,NA,0.10050047955147492,NA,NA
F3.LUPBIC.1,0.017487993372981958,0.03443202862452163,NA,NA,0.02166084939249829,0.023901626915860178,NA,NA,0.07348047678635866,0.004243451474387152,NA,NA
J6.BRODIA.1,NA,0.04300762578957466,0.015109832264819113,NA,NA,0.021426765900962125,-0.04351580852100799,NA,NA,0.10131574846835648,0.025832103734003655,NA
F5.EROBOT.1,NA,0.030188577150134486,NA,NA,NA,0,NA,NA,NA,0.05311879451541893,NA,NA
C3.DANCAL.1,NA,NA,NA,-0.017709065085327,NA,NA,NA,-0.021340268847798133,NA,NA,NA,-0.05079373137071512
J3.EROBOT.1,NA,NA,0.04381599377865555,NA,NA,NA,0.00661353758633964,NA,NA,NA,0.09084441492355282,NA
D3.LUPMIC.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D5.BROARE.1,NA,0.018797848302664642,0.0022969921068086954,NA,NA,0,0.03479897134709356,NA,NA,0.04958687627505718,-0.0070331238451262455,NA
C3.ACMPAR.1,NA,NA,0.026667050747886053,NA,NA,NA,0.0273321890447485,NA,NA,NA,0.04902663721756171,NA
G1.AVEBAR.1,NA,0.043308125494470155,0.048751613954934075,NA,NA,0.008316273402678317,-0.014972125020352414,NA,NA,0.10745368177615292,0.09422890398459395,NA
H7.AVEBAR.1,NA,0.029777618997899838,0.06303091608744837,NA,NA,0.008388821239282756,-0.01801294414804822,NA,NA,0.12743849516531888,0.10965281501550637,NA
I7.BROHOR.1,NA,0.04929217493383124,NA,NA,NA,0.0041728560195163356,NA,NA,NA,0.08693363329432766,NA,NA
G1.BRODIA.1,NA,0.055444501530574626,NA,NA,NA,0.003849363790653183,NA,NA,NA,0.09393034308087869,NA,NA
F2.LUPMIC.1,NA,0.06454490265177901,NA,NA,NA,Inf,NA,NA,NA,0.10996909194946657,NA,NA
E2.BROARE.1,NA,0.014692565355548288,-0.002365494676119647,NA,NA,0.008666014768307116,0.007991168679216133,NA,NA,0.07779002567113066,-0.0044712504513051915,NA
I1.GERDIS.1,0.05960881157163335,0.04987546537818623,NA,NA,0.01740754182391613,0.017487993372981958,NA,NA,0.09335176277372972,0.10858705432248889,NA,NA
B7.BRODIA.1,NA,0.052149039300467714,NA,NA,NA,4.861559397414982e-4,NA,NA,NA,0.1014690155719275,NA,NA
B7.TORARV.1,0.02390162691586018,0.04077336356234972,0.03794676797271525,NA,0,-0.008461237425052377,0.040235947810852504,NA,0.05940574474969322,0.0561630148495423,0.0674842666845622,NA
B7.GERDIS.1,0.050563347199773345,0.01116145946190894,NA,NA,0.01620702169812881,0.03577633306836745,NA,NA,0.11398789925070911,0.059074942019408445,NA,NA
A1.MADGRA.1,0.04780325383172036,0.031559208328126094,0.04321845955931404,NA,0.04151630359744606,0.06624397808297255,0.04446581559562864,NA,0.13030636488581268,0.07046426025378373,0.08199451140234935,NA
A3.CLAPUR.1,0.023901626915860178,0.04605532587104283,-0.010126849984902986,NA,0.039565601821984195,0.023095153092330213,-0.10288276999379242,NA,0.09118394436952078,0.05820004610573306,-0.04820452698144504,NA
B1.CLAPUR.1,0.03294867051818746,0.050909205449354705,-0.006972659371375421,NA,0.039565601821984195,0.03594711760116932,-0.050298936051883396,NA,0.10004902048561205,0.10961663597176605,-0.0057933316041280086,NA
B1.TORARV.1,0.051864737819871526,0.05191735201400323,-0.011879665668976523,NA,0.01761467668158588,-0.007198179074651926,0.009429421118794521,NA,0.08002081374126634,0.11028699866972763,0.008906796564095478,NA
F1.DAUPUS.1,0.02166084939249829,0.043198723051564414,0.048518625702460454,NA,0.015963300742687203,0,0.01896086015813288,NA,0.06476477726136697,0.06273611812920288,0.036939751751709764,NA
F3.DAUPUS.1,0.04332169878499658,0.057180278503570076,0.025642899189351222,NA,0.00899006476411815,-0.00992007146385451,0.0316396533229589,NA,0.09843384229316404,0.10595494188586618,-0.01841113545313765,NA
F8.DAUPUS.1,0.028634085371067347,0.03851362801523982,0.0424441468015814,NA,0.00899006476411815,-0.009280066853283251,0.029217167599558738,NA,0.0671385754114621,0.04779369486852307,0.04021868055545824,NA
H2.CLAPUR.1,0.022359586469675653,0.05011051873981472,0.032004546072345576,NA,0.038837832397610836,0.016218604324326584,-0.005442525641809993,NA,0.06087321448491548,0.09445702372067917,0.07634788211003896,NA
B7.BROHOR.1,NA,0.06116004534352458,NA,NA,NA,-0.0012517533652587082,NA,NA,NA,0.09227152458316734,NA,NA
B7.DAUPUS.1,0.07170488074758054,0.04255644067459781,0.020437125868838293,NA,0.00769460521773137,0,-0.00769460521773137,NA,0.11806361934795057,0.08456189075780515,-0.02790075508481187,NA
B4.BRODIA.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B4.MADGRA.1,0.03788318236786586,0.06639961717683883,0.028488981709855064,NA,0.03327865158770991,0.05129698550020041,0.014603748852912785,NA,0.1257950848135752,0.10259350885558437,0.05540956154074426,NA
J3.AVEBAR.1,0.016218604324326584,0.017487993372981958,0.06510407312626629,NA,0.08934368886028375,-0.008497928608863808,-0.028485068439135484,NA,0.09377528886690026,0.08109501388120266,0.04817630683528627,NA
