sample,total.leaf.area
C5EROBOT1_20230405,25.537
C5GERDIS2_20230410,6.572
C5MADGRA2_20230515,11.48
C5TORARV2_20230520,8.505
C5TRIHIR2_20230509,6.813
C5VICSAT2_20230423,11.229
C6AMSMEN2,7.301
C6AVEBAR2_20230421,24.802
C6BROARE2_20230324,6.5
C6BRODIA2_20230430,15.47
C6BROMAD2_20230424,5.742
C6PHATAN1_20230405_dying,4.676
C7AMSMEN2_20230403,2.544
C7AVEBAR2_20230421,10.809
C7BROARE2_20230324,7.187
C7BRODIA2_20230501,9.601
C7BROMAD2_20230423,5.419
C7EROCIC1_20230401,1.555
C7LUPMIC2_20230424,22.996
C7PHATAN1_20230405_nophoto,0.964
C8AIRCAR2_20230509,0.126
C8BRODIA2_20230501,13.156
C8BROHOR2_20230503,6.345
C8CLAPUR2_20230505,1.652
C8DAUPUS2_20230522,9.766
C8GALPAR2_20230426,0.724
C8HYPGLA2_20230426,18.773
C8MADGRA2_20230515,7.526
D1AIRCAR2_20230509,0.384
D1BRODIA2_20230501,9.154
D1BROHOR2_20230503,6.06
D1CLAPUR2_20230507,0.7
D1GALPAR2_20230426,0.874
D1HYPGLA2_20230426,14.956
D1MADGRA2_20230515,4.17
D2AVEBAR2_20230421,14.604
D2BRODIA2_20230501,7.286
D2BROHOR2_20230503,4.479
D2CLAPUR2_20230507,1.55
D2DAUPUS2_20230522,4.654
D2GERDIS2_20230410,9.881
D2LUPBIC2_20230428,1.684
D2MADGRA2_20230515,8.65
D2TORARV2_20230520,19.257
D2TRIHIR2_20230509,7.19
D2VICSAT2_20230423,13.903
D3AVEBAR2_20230421,15.313
D3BROARE2_20230324,6.661
D3BRODIA2_20230501,12.371
D3BROMAD2_20230424,1.956
D3EROCIC1_20230401,4.251
D4AVEBAR2_20230421,13.834
D4BRODIA2_20230501,10.36
D4BROHOR2_20230503,6.107
D4BROMAD2_20230423,1.833
D4CLAPUR2_20230507,1.533
D4ELYCAP2_20230520,1.653
D4HOLVIR2_20230903,1.491
D4MICCAL2_20230427,1.911
D4PLAERE2_20230410,4.176
D5AVEBAR2_20230421,10.714
D5BROARE2_20230324,10.215
D5BRODIA2_20230501,8.871
D5BROMAD2_20230423,7.877
D5LUPMIC1_20230424,11.162
D5PHATAN1_20230405,1.588
D6AVEBAR2_20230421,6.105
D6BRODIA2_20230501,10.627
D6BROHOR2_20230503,8.931
D6CLAPUR2_20230507,2.151
D6DAUPUS2_20230522,4.029
D6EROBOT2_20230405,23.467
D6GERDIS2_20230410,7.096
D6LUPBIC1_20230428,0.845
D6MADGRA2_20230515,5.891
D6TORARV2_20230520,6.124
D6TRIHIR2_20230509,3.698
D6VICSAT2_20230423,8.937
D7BRODIA2_20230501,10.394
D7BROHOR2_20230503,5.59
D7BROMAD2_20230423,3.305
D7CENMEL2_20230507,18.342
D7MICCAL2_20230427,1.434
D8BRODIA2_20230501,5.187
D8BROHOR2_20230503,3.071
D8BROMAD2_20230423,2.969
D8CALMEN2_20230403,1.603
D8CENMEL2_20230507,8.328
D8MICCAL2_20230427,1.052
E1AIRCAR2_20230509,0.226
E1BRODIA2_20230501,9.316
E1BROHOR2_20230503,5.785
E1CLAPUR2_20230507,0.69
E1DAUPUS2_20230522,3.46
E1GALPAR2_20230426,0.453
E1HYPGLA2_20230426,2.291
E1MADGRA2_20230515,3.78
E2AMSMEN2_20230405,1.949
E2AVEBAR2_20230421,10.25
E2BROARE2_20230324,6.009
E2BRODIA2_20230501,5.24
E2BROMAD2_20230423,3.452
E2EROCIC2_20230401,1.608
E2LUPMIC1_20230424,18.072
E2PHATAN2_20230405,6.38
E3AIRCAR2_20230509,0.381
E3BRODIA2_20230501,5.811
E3BROHOR2_20230503,12.714
E3CLAPUR2_20230507,0.841
E3DAUPUS1_20230522,4.715
E3GALPAR2_20230426,0.478
E3HYPGLA2_20230426,3.203
E3MADGRA2_20230515,2.659
E4AVEBAR2_20230421,9.275
E4BROARE2_20230324,6.946
E4BRODIA2_20230501,10.654
E4BROMAD2_20230423,3.609
E4LUPMIC1_20230424,11.712
E4PHATAN2,7.982
E5AVEFAT2_20230421,14.087
E5BRODIA1_20230501,9.132
E5BROHOR2_20230503,5.294
E5BROMAD1_20230423,3.005
E5CALMEN1_20230403,1.259
E5CENMEL2_20230507,13.376
E5EROCIC2_20230401,6.915
E5MICCAL2_20230427,1.559
E6AVEFAT2_20230421,17.724
E6BRODIA2_20230501,7.343
E6BROHOR2_20230503,3.081
E6BROMAD2_20230423,2.675
E6CALMEN2_20230403,0.479
E6CENMEL2_20230507,14.743
E6EROCIC1_20230401,1.921
E7AVEBAR2_20230421,23.66
E7BRODIA2_20230501,5.518
E7BROHOR2_20230503,4.216
E7BROMAD2_20230424,2.186
E7CLAPUR2_20230507,2.898
E7ELYCAP2_20230520,1.598
E7EROBOT1_20230405,2.316
E7LUPBIC2_20230428,3.627
E7MICCAL2_20230427,2.495
E7PLAERE2_20230410,2.723
E7TRIHIR1_20230509,2.918
E8AVEBAR2_20230421,31.689
E8BRODIA2_20230501,8.677
E8BROHOR2_20230503,6.93
E8CLAPUR2_20230507,1.519
E8DAUPUS2_20230522,4.27
E8EROBOT1_20230405,10.106
E8GERDIS2_20230410,20.105
E8LUPBIC1_20230428,2.569
E8MADGRA2_20230515,9.523
E8TORARV2_20230520,9.165
E8TRIHIR1_20230509,5.361
E8VICSAT2_20230423,10.338
F1ACMPAR2_20230509,0.054
F1AIRCAR2_20230509,0.23
F1BRODIA2_20230429,3.965
F1BROHOR2_20230503,11.525
F1CLAPUR2_20230505,0.919
F1DAUPUS1_20230521,0.843
F1GALPAR2_20230426,0.797
F1HYPGLA2_20230426,6.357
F1MADGRA2_20230515,2.573
F2AVEBAR2_20230422,9.526
F2BROARE2_20230324,8.02
F2BRODIA2_20230429,8.262
F2BROMAD2_20230424,2.825
F2EROCIC1_20230401,7.778
F2LUPMIC1_20230424,1.209
F2LUPSUC2_20230428,5.167
F3AVEBAR1_20230422,20.849
F3BRODIA2_20230430,6.977
F3BROHOR2_20230503,6.551
F3CLAPUR2_20230505,1.467
F3DAUPUS2_20230521,2.722
F3EROBOT1_20230405,18.781
F3GERDIS2_20230410,16.451
F3LUPBIC2_20230427_wilt,0.747
F3MADGRA2_20230515,5.198
F3TORARV2_20230520,4.559
F3TRIHIR2_20230509,0.856
F3VICSAT2_20230422,11.665
F4AVEBAR2_20230422,17.314
F4BRODIA2_20230430,8.554
F4BROHOR2_20230503,5.568
F4BROMAD2_20230424,3.042
F4CLAPUR2_20230505,2.449
F4ELYCAP2_20230520_NO LICOR,1.64
F4LUPBIC2_20230427_NOLICOR,0.392
F4MICCAL2_20230427,1.435
F4PLAERE2_20230412,2.559
F4TRIHIR2_20230509,6.279
F5AVEBAR2_20230422,17.959
F5BRODIA2_20230430,7.943
F5BROHOR2_20230503,4.324
F5BROMAD2_20230424,3.492
F5CLAPUR2_20230505,1.944
F5ELYCAP2_20230520,1.751
F5EROBOT1_20230405,1.399
F5HOLVIR2_20230903,0.943
F5LUPBIC2_20230428,3.035
F5MICCAL2_20230427,1.516
F5PLAERE2_20230404,3.443
F5TRIHIR2_20230509,3.701
F6AVEFAT1_20230422,34.396
F6BRODIA2_20230430,6.415
F6BROHOR2_20230503,5.763
F6BROMAD2_20230424,2.858
F6CENMEL2_20230507,24.946
F6EROCIC2_20230401,0.652
F6MICCAL2_20230427,0.909
F7AMSMEN2_20230403,2.452
F7AVEBAR2_20230422,12.265
F7BROARE2_20230324,6.003
F7BRODIA2_20230430,10.298
F7BROMAD2_20230424,4.466
F7LUPMIC2_20230424,32.6
F8AVEBAR2_20230422,15.616
F8BRODIA2_20230430,7.67
F8BROHOR2_20230503,9.48
F8CLAPUR2_20230505,2.274
F8DAUPUS2_20230521,5.704
F8EROBOT2_20230405,15.205
F8GERDIS2_20230410,12.94
F8LUPBIC2_20230428,0.432
F8MADGRA2_20230515,11.123
F8TORARV2_20230520,8.737
F8TRIHIR1_20230509,6.063
F8VICSAT2_20230422,8.126
G1AVEBAR1_20230422,25.82
G1BRODIA2_20230430,8.403
G1BROHOR2_20230505,4.781
G1CLAPUR2_20230505,1.868
G1DAUPUS2_20230522,3.682
G1EROBOT1_20230405,10.161
G1GERDIS2_20230410,12.451
G1LUPBIC1_20230428,1.131
G1MADGRA2_20230515,7.308
G1TORARV2_20230520,14.511
G1TRIHIR1_20230509,6.59
G1VICSAT2_20230422,8.893
G2AVEBAR1_20230422,11.382
G2BRODIA2_20230430,5.975
G2BROHOR2_20230505,9.638
G2BROMAD2_20230424,5.407
G2CLAPUR2_20230505,2.385
G2ELYCAP2_20230520,2.417
G2HOLVIR2_20230903,1.583
G2LUPBIC2_20230428,1.514
G2MICCAL2_20230427,2.347
G2PLAERE2_20230412,2.934
G2TRIHIR2_20230509,5.579
G3AVEFAT2_20230422,12.086
G3BRODIA2_20230430,7.649
G3BROHOR2_20230505,5.97
G3BROMAD2_20230424,6.591
G3CENMEL2_20230507,25.154
G3EROCIC1_20230401,12.316
G3MICCAL2_20230427,2.027
G4AMSMEN2_20230403,6.373
G4AVEBAR2_20230422,9.97
G4BROARE2_20230324,6.844
G4BRODIA2_20230430,11.865
G4BROMAD2_20230424,2.029
G4EROCIC1_20230401,4.185
G4PHATAN2_20230401,15.784
G5AVEBAR2_20230422,30.621
G5BRODIA2_20230430,8.087
G5BROHOR2_20230505,5.316
G5BROMAD2_20230424,2.526
G5CLAPUR2_20230505,2.046
G5ELYCAP2_20230520,2.172
G5EROBOT2_20230405,17.866
G5HOLVIR2_20230903,0.78
G5MICCAL2_20230427,2.281
G5PLAERE2_20230412,4.2
G5TRIHIR1_20230509,6.619
G6ACMPAR1_20230509,0.144
G6AIRCAR2_20230509,0.529
G6BRODIA2_20230430,10.759
G6BROHOR2_20230505,7.397
G6CLAPUR2_20230505,1.089
G6GALPAR2_20230426,0.601
G6HYPGLA2_20230426,14.544
G6MADGRA2_20230515,5.398
G7AIRCAR2_20230509,0.265
G7BRODIA2_20230430,13.018
G7BROHOR2_20230505,14.416
G7DAUPUS2_20230522,5.497
G7GALPAR2_20230426,0.997
G7HYPGLA2_20230426,8.753
G7MADGRA2_20230515,3.513
G8AVEBAR1_20230421,27.724
G8BRODIA2_20230430,10.289
G8BROHOR2_20230505,3.547
G8CLAPUR2_20230505,1.679
