Plant_ID,Species,Recorder,Collection_Date,Flower_Count,Flower_1_g,Flower_2_g,Flower_3_g,Flower_4_g,Flower_5_g,Flower_6_g,Flower_7_g,Flower_8_g,Flower_9_g,Flower_10_g,Veg_Mass,NOTES
H3.LUPSUC.1,LUPSUC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
I3.LUPSUC.1,LUPSUC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
J4.LUPSUC.1,LUPSUC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
J7.LUPSUC.1,LUPSUC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A1.MADGRA.1,MADGRA,HK,9/1/23,681,0.0465,0.0532,0.0264,0.0352,0.0416,0.0519,0.0538,0.0488,0.0265,0.057,77.44,
A3.MADGRA.1,MADGRA,MR,9/1/23,525,0.0153,0.0226,0.0171,0.0126,0.0093,0.0111,0.0275,0.0276,0.0183,,26.26,not enough full flowers
B1.MADGRA.1,MADGRA,"JBL, AT",9/1/23,2198,0.0257,0.0168,0.0058,0.0209,0.0287,0.0209,0.0142,0.0216,0.0244,0.0097,47.92,
B4.MADGRA.1,MADGRA,MR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not found
B7.MADGRA.1,MADGRA,AS,9/1/23,226,0.0511,0.0393,0.0322,0.0393,0.0521,0.0804,0.0885,0.0473,0.0499,0.041,13.23,
C3.MADGRA.1,MADGRA,HK,9/1/23,778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,no green flowers
C4.MADGRA.1,MADGRA,HK,9/1/23,966,0.0553,0.075,0.054,0.0338,0.0804,0.0434,0.0399,0.0457,0.0494,0.0478,98.69,
C5.MADGRA.1,MADGRA,HK,9/1/23,1342,0.0689,0.0686,0.0827,0.0595,0.0964,0.0344,0.0638,0.0616,0.058,0.0706,57.29,
C8.MADGRA.1,MADGRA,MR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wrong plant
D1.MADGRA.1,MADGRA,MF,9/1/23,1041,0.0408,0.0188,0.0266,0.0202,0.0282,0.014,0.0508,0.0339,0.0432,0.034,57.84,
D2.MADGRA.1,MADGRA,AT,9/1/23,943,0.0415,0.0476,0.0417,0.0354,0.0292,0.0368,0.0361,0.0436,0.0276,0.0437,38.28,
D6.MADGRA.1,MADGRA,JBL,9/1/23,1344,0.0326,0.0378,0.0553,0.0184,0.0635,0.0435,0.0529,0.0325,0.0729,0.0491,75.21,
E1.MADGRA.1,MADGRA,HR,9/1/23,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.61,No flowers
E3.MADGRA.1,MADGRA,DC,9/1/23,19,0.0164,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.24,
E8.MADGRA.1,MADGRA,HK,2/20/24,495,0.043,0.0607,0.0271,0.056,0.047,0.0359,0.0357,0.0452,0.0497,0.0246,27.32,
F1.MADGRA.1,MADGRA,AT,9/1/23,1401,0.0213,0.028,0.0268,0.0232,0.0368,0.0298,0.0269,0.0183,0.0182,0.014,45.82,
F3.MADGRA.1,MADGRA,HR,9/1/23,1758,0.0275,0.0248,0.0371,0.0355,0.0602,0.0302,0.0477,0.04222,0.0531,0.0585,64.4,
F8.MADGRA.1,MADGRA,HR,9/1/23,557,0.0431,0.0391,0.042,0.0388,0.0436,0.0408,0.0437,0.0427,0.0393,0.0317,18.36,
G1.MADGRA.1,MADGRA,HR,9/1/23,178,0.053,0.0472,0.049,NA,NA,NA,NA,NA,NA,NA,13.6,
G6.MADGRA.1,MADGRA,MR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wrong individual
G7.MADGRA.1,MADGRA,DC,9/1/23,163,0.005,0.0028,0.0083,0.0046,0.0057,0.0051,0.005,0.0052,0.0048,0.0033,2.51,
G8.MADGRA.1,MADGRA,DC,9/1/23,32,0.0614,0.0373,0.0624,0.0137,0.0199,0.0511,0.0685,0.0501,NA,NA,1.01,
H2.MADGRA.1,MADGRA,JBL,9/1/23,713,0.031,0.0163,0.0255,0.0144,0.0387,0.0152,0.017,0.0276,NA,NA,18.99,
H5.MADGRA.1,MADGRA,MR,9/1/23,628,0.0765,0.0666,0.0225,0.0447,0.0347,0.0145,0.017,0.0421,0.0256,0.066,33.25,
H6.MADGRA.1,MADGRA,DC,9/11/23,360,0.0183,0.0186,0.0231,0.0294,0.0287,0.0195,0.0153,0.023,0.02,0.0252,28.17,
I1.MADGRA.1,MADGRA,LS,5/19/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.71,"in bud 4/24/23, dead"
I4.MADGRA.1,MADGRA,JBL,6/21/23,266,0.0482,0.03,0.0804,0.0388,0.0544,0.0679,0.0355,0.0408,0.0316,0.0214,29.12,
I5.MADGRA.1,MADGRA,WL,9/1/23,752,0.0234,0.0447,0.0367,0.0422,0.0317,0.0489,0.0486,0.0362,0.0297,NA,22.09,only 9 full flowers
I6.MADGRA.1,MADGRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
I8.MADGRA.1,MADGRA,MH,9/1/23,848,0.0256,0.0278,0.0259,0.0253,0.0368,0.0273,0.0215,0.0354,0.0386,0.0257,24.26,
J1.MADGRA.1,MADGRA,MH,9/1/23,673,0.0506,0.0411,0.024,0.0607,0.0495,0.0231,0.0297,0.0573,0.0322,0.0356,43.79,
J2.MADGRA.1,MADGRA,HR,5/27/23,724,0.0343,0.03,0.0495,0.0427,0.0404,0.0325,0.0483,0.0252,0.0123,0.0145,59.82,
A5.MICCAL.1,MICCAL,AS,5/17/23,104,0.0072,0.0063,0.0059,0.0072,0.0089,0.0066,0.0065,0.0068,0.0005,0.0063,0.93,
A6.MICCAL.1,MICCAL,WL,5/17/23,86,0.0019,0.0022,0.0016,0.0028,0.0023,0.0018,0.0019,0.0035,0.0023,0.0026,2.15,
A7.MICCAL.1,MICCAL,ASI,5/17/23,20,0.0017,0.002,0.0015,0.0026,0.0015,0.0005,0.0012,0.0009,0.0014,0.0012,2.04,
A8.MICCAL.1,MICCAL,AS,5/17/23,42,0.0015,0.002,0.0015,0.0015,0.0042,0.0014,0.0049,0.0015,0.0017,0.0051,0.32,
B2.MICCAL.1,MICCAL,NJ,5/17/23,358,0.0012,0.0028,0.0018,0.0016,0.001,0.0021,0.0019,0.0006,0.0007,0.0011,2.15,
B3.MICCAL.1,MICCAL,AS,5/17/23,135,0.0012,0.004,0.002,0.0014,0.0015,0.0026,0.0015,0.001,0.0016,0.0021,0.77,
B5.MICCAL.1,MICCAL,WL,5/17/23,80,0.0036,0.0051,0.0048,0.005,0.006,0.0035,0.0039,0.003,0.0054,0.0053,0.96,
B6.MICCAL.1,MICCAL,WL,5/17/23,61,0.0031,0.0021,0.0017,0.0013,0.0034,0.0021,0.0017,0.0019,0.0033,0.0029,1.49,
C1.MICCAL.1,MICCAL,AS,5/17/23,73,0.0031,0.0024,0.003,0.0027,0.0036,0.0037,0.0024,0.0026,0.0021,0.0017,0.76,
C2.MICCAL.1,MICCAL,AS,5/17/23,22,0.0035,0.0028,0.004,0.0031,0.0029,0.0027,0.0025,0.0002,0.0017,0.0021,0.09,
D4.MICCAL.1,MICCAL,HR,5/17/23,114,0.0069,0.0062,0.0076,0.0065,0.0069,0.0031,0.0071,0.0084,0.0038,0.0054,1.38,
D7.MICCAL.1,MICCAL,AS,5/17/23,658,0.0012,0.004,0.005,0.0038,0.0035,0.0044,0.0051,0.0041,0.0062,0.0033,3.28,
D8.MICCAL.1,MICCAL,LS,4/8/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1943,"dead 4/8/2023, died before flowering"
E5.MICCAL.1,MICCAL,WL,5/17/23,83,0.0028,0.0025,0.0023,0.0021,0.0046,0.0031,NA,NA,NA,NA,1.65,Only found 6 flowers
E6.MICCAL.1,MICCAL,ASI,5/17/23,177,0.0016,0.0014,0.0019,0.0023,0.0024,0.0013,0.0028,0.0019,0.0027,0.0016,1.19,
E7.MICCAL.1,MICCAL,MR,5/17/23,91,0.003,0.0029,0.0018,0.0023,0.0025,0.0033,0.0025,0.0024,0.0017,0.0017,1.17,
F4.MICCAL.1,MICCAL,LS,4/13/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2829,"dead 4/13/2023, died before flowering"
F5.MICCAL.1,MICCAL,HR,5/17/23,280,0.006,0.006,0.0076,0.0064,0.0063,0.0058,0.0085,0.0071,0.0055,0.0063,2.84,
F6.MICCAL.1,MICCAL,MR,5/17/23,686,0.0023,0.0017,0.0019,0.0021,0.0015,0.0022,0.0018,0.0025,0.0012,0.0029,3.57,
G2.MICCAL.1,MICCAL,ASI,5/17/23,99,0.0014,0.00014,0.0014,0.0062,0.0017,0.0024,0.0014,0.0048,0.0048,0.0065,2.56,
G3.MICCAL.1,MICCAL,JBL,5/17/23,764,0.0022,0.0038,0.0019,0.003,0.002,0.0027,0.0038,0.0023,0.0025,0.0024,4.34,
G5.MICCAL.1,MICCAL,AS,5/17/23,107,0.0022,0.0024,0.0025,0.0026,0.0022,0.0025,0.0019,0.0016,0.0032,0.0025,0.7,
H1.MICCAL.1,MICCAL,AS,5/17/23,226,0.0031,0.0033,0.0036,0.0019,0.0013,0.0056,0.0026,0.0021,0.0018,0.0044,1.28,
H4.MICCAL.1,MICCAL,MR,5/17/23,202,0.0028,0.003,0.0029,0.0015,0.0017,0.0019,0.0024,0.0029,0.0022,0.0026,1.23,
H7.MICCAL.1,MICCAL,ASI,5/17/23,130,0.0064,0.0065,0.0011,0.0005,0.0051,0.0024,0.0026,0.0038,0.0032,0.0023,1.95,
H8.MICCAL.1,MICCAL,AS,5/17/23,107,0.0049,0.0057,0.0033,0.0026,0.0033,0.00011,0.0018,0.0024,0.0049,0.0023,0.49,
I2.MICCAL.1,MICCAL,JBL,5/17/23,702,0.0015,0.0016,0.0022,0.0019,0.0018,0.0023,0.002,0.0017,0.0013,0.0018,2.24,
I7.MICCAL.1,MICCAL,JBL,5/17/23,257,0.0075,0.007,0.0067,0.0076,0.0073,0.0082,0.007,0.0061,0.0069,0.0058,2.39,
J3.MICCAL.1,MICCAL,CAM,5/17/23,319,0.0059,0.0037,0.0043,0.004,0.0038,0.0037,0.0056,0.0045,0.0056,0.0029,2.58,
J5.MICCAL.1,MICCAL,AS,5/17/23,116,0.0018,0.0032,0.002,0.002,0.0043,0.0016,0.0016,0.0015,0.0013,0.0026,0.59,
J6.MICCAL.1,MICCAL,JBL,5/17/23,493,0.0017,0.0012,0.0014,0.0042,0.0056,0.0071,0.007,0.0069,0.0056,0.005,3.96,
J8.MICCAL.1,MICCAL,MH,5/17/23,174,0.0046,0.0049,0.005,0.0045,0.0049,0.0046,0.005,0.0049,0.005,0.0046,1.12,
A2.MIRMUL.1,MIRMUL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A4.MIRMUL.1,MIRMUL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
B8.MIRMUL.1,MIRMUL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
C6.MIRMUL.1,MIRMUL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
C7.MIRMUL.1,MIRMUL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
D3.MIRMUL.1,MIRMUL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
D5.MIRMUL.1,MIRMUL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
E2.MIRMUL.1,MIRMUL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
E4.MIRMUL.1,MIRMUL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
F2.MIRMUL.1,MIRMUL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
