Sample_ID,δ13CVPDB_permil,Total_C_µg,C_Comment,δ15NAir_permil,Total_N_µg,N_Comment,Tray_Name,Well_Id,Type_of_Material,Analysis,Sample_Weight_mg_from_Sample_List,Internal_ID,Analysis_Number,Mass_Spec,Error
F8 DAUPUS 2,-30.84,1535.99,,0.68,73.63,,USDADrought4,B7,leaf,"13C, %N",3.983,2225832,612569,D,
F8 EROBOT 2,-30.46,1367.6,,3.19,71.35,,USDADrought2,F6,leaf,"13C, %N",3.676,2225687,613700,D,
F8 GERDIS 2,-30.86,1255.15,,1.92,75.66,,USDADrought1,F9,leaf,"13C, %N",3.15,2225594,612262,D,
F8 MADGRA 2,-29.61,1189.19,,1.71,67.54,,USDADrought3,F11,leaf,"13C, %N",3.039,2225788,612511,D,
F8 TORARV 2,-30.92,1210.04,,0.02,45.09,,USDADrought1,H5,leaf,"13C, %N",3.521,2225614,612290,D,
F8 TRIHIR 1,-32.79,1377.08,,-0.64,81.59,,USDADrought2,A1,leaf,"13C, %N",3.621,2225622,612302,D,
F8 VICSAT 2,-30.06,1634.57,,0.23,127.32,,USDADrought6,B11,leaf,"13C, %N",3.864,2226028,612820,D,
G1 AVEBAR 1,-29.38,1385.92,,1.76,75.17,,USDADrought6,A2,leaf,"13C, %N",3.33,2226007,612797,D,
G1 BRODIA 2,-30.65,1367.76,,0.8,59.77,,USDADrought1,F3,leaf,"13C, %N",3.575,2225588,612256,D,
G1 BROHOR 2,-30.33,1330.74,,0.76,83.17,,USDADrought4,G4,leaf,"13C, %N",3.383,2225889,613561,D,
G1 CLAPUR 2,-31.5,1503.73,,1.02,48.17,Integration error. Interpret data cautiously,USDADrought4,D4,leaf,"13C, %N",3.739,2225853,612600,D,old
G1 CLAPUR 2,-31.32,665.55,,1.74,28.57,,USDADroughtR,A4,leaf,"13C, %N",1.596,2266655,629532,D,new
G1 DAUPUS 2,-32.61,1288.84,,0.7,54.21,,USDADrought6,H1,leaf,"13C, %N",3.217,2226090,613445,D,
G1 EROBOT 1,-31.22,1348.3,,2.69,62.42,,USDADrought2,F5,leaf,"13C, %N",3.547,2225686,613699,D,
G1 GERDIS 2,-31.56,1377.52,,1.12,78.71,,USDADrought2,E5,leaf,"13C, %N",3.641,2225674,612368,D,
G1 MADGRA 2,-31.26,1378.2,,1.63,64.96,,USDADrought3,F4,leaf,"13C, %N",3.458,2225781,612504,D,
G1 TORARV 2,-31.04,1279.81,,0.38,43.28,,USDADrought2,C12,leaf,"13C, %N",3.591,2225657,612345,D,
G1 TRIHIR 1,-32.75,1337.34,,-0.6,97.84,,USDADrought2,A7,leaf,"13C, %N",3.608,2225628,612308,D,
G1 VICSAT 2,-29.53,1505.58,,0.79,137.91,,USDADrought6,B10,leaf,"13C, %N",3.443,2226027,612819,D,
G2 AVEBAR 1,-28.42,1515.56,,1.89,116.76,,USDADrought7,B4,leaf,"13C, %N",3.704,2226117,613309,D,
G2 BRODIA 2,-30.61,1186.62,,1.26,52.97,,USDADrought2,H4,leaf,"13C, %N",3.107,2225709,611584,D,
G2 BROHOR 2,-29.63,1480.24,,1.35,96.19,,USDADrought4,G6,leaf,"13C, %N",3.853,2225891,613563,D,
G2 BROMAD 2,-30.37,1286.59,,1.28,69.21,,USDADrought5,G9,leaf,"13C, %N",3.121,2225990,612770,D,
G2 CLAPUR 2,-31.17,1315.73,,2.92,66.81,,USDADrought4,D1,leaf,"13C, %N",3.262,2225850,612597,D,
G2 ELYCAP 2,-29.13,1253.41,,1.06,60.43,,USDADrought5,F3,leaf,"13C, %N",3.288,2225972,612750,D,
G2 HOLVIR 2,-31.3,1573.08,,1.8,31.93,,USDADrought2,G12,leaf,"13C, %N",3.935,2225705,611574,D,
G2 LUPBIC 2,-32.04,1676.94,,-0.21,179.13,,USDADrought3,H6,leaf,"13C, %N",3.818,2225807,612538,D,
G2 MICCAL 2,-30.75,1481.16,,1.73,92.22,,USDADrought1,B9,leaf,"13C, %N",3.656,2225546,612198,D,
G2 PLAERE 2,-31.68,1489,,1.27,80.42,,USDADrought5,G2,leaf,"13C, %N",3.457,2225983,612763,D,
G2 TRIHIR 2,-31.4,1362.65,,-0.94,73.46,,USDADrought2,A4,leaf,"13C, %N",3.636,2225625,612305,D,
G3 AVEFAT 2,-31.18,1415.35,,1.85,60.14,,USDADrought6,A4,leaf,"13C, %N",3.718,2226009,612799,D,
G3 BRODIA 2,-29.54,1449.33,,1.59,47.67,,USDADrought5,A5,leaf,"13C, %N",3.645,2225914,612670,D,
G3 BROHOR 2,-30.62,1240.11,,1.49,54.57,,USDADrought4,G3,leaf,"13C, %N",3.15,2225888,613560,D,
G3 BROMAD 2,-30.73,1222.88,,2.33,48.25,,USDADrought7,A8,leaf,"13C, %N",3.191,2226109,613295,D,
G3 CENMEL 2,-30.93,1207.6,,1.3,77.49,,USDADrought1,G5,leaf,"13C, %N",3.165,2225602,612272,D,
G3 EROCIC 1,-30.29,1268.48,,3.12,89.28,,USDADrought2,D11,leaf,"13C, %N",3.431,2225668,612360,D,
G3 MICCAL 2,-29.34,1476.07,,0.75,51.26,,USDADrought6,F9,leaf,"13C, %N",3.582,2226074,613843,D,
G4 AVEBAR 2,-30.33,1649.16,,2.17,135.02,,USDADrought6,B5,leaf,"13C, %N",3.771,2226022,612814,D,
G4 BROARE 2,-29.74,1232.49,,1.68,63.57,,USDADrought2,B4,leaf,"13C, %N",3.27,2225637,612319,D,
G4 BRODIA 2,-30.1,1446.46,,1.17,78.4,,USDADrought2,H10,leaf,"13C, %N",3.73,2225715,611590,D,
G4 BROMAD 2,-31.77,1422.29,,0.62,70.77,,USDADrought6,C7,leaf,"13C, %N",3.594,2226036,612834,D,
G4 EROCIC 2,-29.66,1403.27,,2.31,107.14,,USDADrought1,F5,leaf,"13C, %N",3.9,2225590,612258,D,
G4 PHATAN 2,-30.39,1301.98,,4.62,112.98,,USDADrought5,E8,leaf,"13C, %N",3.731,2225965,612739,D,
G5 AVEBAR 2,-30.19,1560.01,,2.63,62.77,,USDADrought6,B6,leaf,"13C, %N",3.803,2226023,612815,D,
G5 BRODIA 2,-30.24,1364.09,,1.46,63.99,,USDADrought6,H3,leaf,"13C, %N",3.37,2226092,613447,D,
G5 BROHOR 2,-30.35,1312.82,,0.55,74.57,,USDADrought4,G2,leaf,"13C, %N",3.662,2225887,613559,D,
G5 BROMAD 2,-30.93,1198.12,,0.99,70.28,,USDADrought5,G8,leaf,"13C, %N",3.073,2225989,612769,D,
G5 CLAPUR 2,-29.66,1502.75,,2.16,68.93,,USDADrought4,E12,leaf,"13C, %N",3.643,2225873,612622,D,
G5 ELYCAP 2,-30.05,1144.25,,1.09,47.81,,USDADrought1,C2,leaf,"13C, %N",3.214,2225551,612207,D,
G5 EROBOT 2,-29.62,1211.5,,4.9,70.34,,USDADrought2,G1,leaf,"13C, %N",3.612,2225694,611563,D,
G5 HOLVIR 2,-31.07,939.49,,2.94,37.78,,USDADrought3,C7,leaf,"13C, %N",2.248,2225748,612459,D,
G5 MICCAL 2,-29.68,1672.5,,1.11,41.34,,USDADrought6,F8,leaf,"13C, %N",3.993,2226073,613842,D,
G5 PLAERE 2,-30.89,1404,,1.61,62.42,,USDADrought5,G3,leaf,"13C, %N",3.386,2225984,612764,D,
G5 TRIHIR 1,-31.45,1228.04,,-0.88,97.84,,USDADrought2,A5,leaf,"13C, %N",3.283,2225626,612306,D,
G6 BRODIA 2,-29.47,1286.7,,1.25,77.59,,USDADrought6,H12,leaf,"13C, %N",3.151,2226101,613456,D,
G6 BROHOR 2,-30.27,1153.59,,1.12,67.2,,USDADrought4,F12,leaf,"13C, %N",3.046,2225885,613812,D,
G6 CLAPUR 2,-30.29,1409.71,,0.8,92.34,,USDADrought1,E4,leaf,"13C, %N",3.558,2225577,612241,D,
G6 HYPGLA 2,-30.57,1568.28,,2.41,123.01,,USDADrought3,D10,leaf,"13C, %N",3.719,2225763,612476,D,
G6 MADGRA 2,-31.01,1368.15,,1.46,86.88,,USDADrought3,G2,leaf,"13C, %N",3.429,2225791,612516,D,
G7 BRODIA 2,-29.74,1448.89,,1.25,83.83,,USDADrought4,A4,leaf,"13C, %N",3.538,2225817,612552,D,
G7 BROHOR 2,-29.52,1408.51,,1.49,76.05,,USDADrought4,G1,leaf,"13C, %N",3.573,2225886,613558,D,
G7 DAUPUS 2,-31.7,1439.07,,0.78,61.09,,USDADrought4,C3,leaf,"13C, %N",3.532,2225840,612583,D,
G7 HYPGLA 2,-32.03,1453.32,,0.57,79.19,,USDADrought3,D12,leaf,"13C, %N",3.947,2225765,612478,D,
G7 MADGRA 2,-31.05,1613.18,,1.28,102.49,,USDADrought3,F12,leaf,"13C, %N",3.988,2225789,612512,D,
G8 AVEBAR 1,-30.39,1447.07,,1.74,97.31,,USDADrought7,C7,leaf,"13C, %N",3.674,2226132,613328,D,
G8 BRODIA 2,-31.69,1355.9,,0.71,54.8,,USDADrought4,A3,leaf,"13C, %N",3.443,2225816,612551,D,
G8 BROHOR 2,-30.79,1319.25,,1.61,86.99,,USDADrought4,F10,leaf,"13C, %N",3.278,2225883,613810,D,
G8 CLAPUR 2,-31.77,1455.04,,2.53,60.78,,USDADrought4,E2,leaf,"13C, %N",3.592,2225863,612612,D,
G8 DAUPUS 1,-31.96,1425.49,,1.21,45.6,,USDADrought6,G1,leaf,"13C, %N",3.614,2226078,613427,D,
G8 EROBOT 1,-33.14,1490.81,,4.43,103.62,,USDADrought2,F2,leaf,"13C, %N",3.973,2225683,613696,D,
G8 GERDIS 2,-32.31,1433.01,,1.01,72.67,,USDADrought1,F8,leaf,"13C, %N",3.595,2225593,612261,D,
G8 LUPBIC 1,-32.07,1609.48,,0.25,132.83,,USDADrought3,H8,leaf,"13C, %N",3.933,2225809,612540,D,
G8 MADGRA 2,-30.38,1403.71,,1.95,73.63,,USDADrought3,G5,leaf,"13C, %N",3.559,2225794,612519,D,
G8 TORARV 2,-31.54,1386.4,,0.13,67.11,,USDADrought2,C9,leaf,"13C, %N",3.819,2225654,612342,D,
G8 TRIHIR 1,-31.62,1309.8,,-0.79,90.45,,USDADrought2,A6,leaf,"13C, %N",3.435,2225627,612307,D,
G8 VICSAT 2,-28.71,1611.51,,0.69,118.07,,USDADrought6,B12,leaf,"13C, %N",3.738,2226029,612821,D,
H1 AVEFAT 1,-29.44,1176.92,,1.66,63.17,,USDADrought7,C8,leaf,"13C, %N",3.031,2226133,613329,D,
H1 BRODIA 2,-29.84,1301.3,,1.47,29.99,,USDADrought4,A10,leaf,"13C, %N",3.216,2225823,612558,D,
H1 BROHOR 2,-30.73,1449.08,,1.33,78.87,,USDADrought4,H1,leaf,"13C, %N",3.749,2225898,613576,D,
H1 BROMAD 2,-31.02,1330.4,,0.95,57.96,,USDADrought5,H12,leaf,"13C, %N",3.552,2226005,612791,D,
H1 CENMEL 2,-30.63,1251.82,,1.8,83.11,,USDADrought1,G3,leaf,"13C, %N",3.185,2225600,612270,D,
H1 EROCIC 1,-30.37,1368.42,,3.54,118.34,,USDADrought2,D5,leaf,"13C, %N",3.743,2225662,612354,D,
H2 BRODIA 2,-29.51,1445.7,,1.61,79.85,,USDADrought4,A11,leaf,"13C, %N",3.47,2225824,612559,D,
H2 BROHOR 2,-29.93,1338.59,,1.18,80.64,,USDADrought4,F9,leaf,"13C, %N",3.472,2225882,613809,D,
H2 CLAPUR 2,-30.46,1359.32,,1.46,87.02,,USDADrought1,E10,leaf,"13C, %N",3.377,2225583,612247,D,
H2 DAUPUS 2,-31.54,1205.15,,0.74,48.92,,USDADrought6,G7,leaf,"13C, %N",3.11,2226084,613433,D,
H2 HYPGLA 2,-31.23,1293.47,,0.36,44.38,,USDADrought3,D11,leaf,"13C, %N",3.462,2225764,612477,D,
H2 MADGRA 2,-30.5,1507.67,,1.23,90.86,,USDADrought3,A1,leaf,"13C, %N",3.697,2225718,612419,D,
H3 AVEBAR 2,-29.46,1462.03,,1.94,90.48,,USDADrought5,D9,leaf,"13C, %N",3.557,2225954,612722,D,
H3 BROARE 2,-29.76,1425.69,,1.64,76.52,,USDADrought1,H6,leaf,"13C, %N",3.837,2225615,612291,D,
H3 BROMAD 2,-31.26,1197,,1.16,51.41,,USDADrought7,A12,leaf,"13C, %N",3.435,2226113,613299,D,
H3 EROCIC 2,-29.83,1433.9,,3.88,133.22,,USDADrought2,D6,leaf,"13C, %N",3.844,2225663,612355,D,
H4 AVEBAR 2,-30.74,1318.35,,1.37,71.39,,USDADrought7,B5,leaf,"13C, %N",3.364,2226118,613310,D,
H4 BRODIA 2,-30.4,1270,,1.3,58.17,,USDADrought4,A12,leaf,"13C, %N",3.109,2225825,612560,D,
H4 BROHOR 2,-29.52,1432.93,,1.23,65.74,,USDADrought6,D6,leaf,"13C, %N",3.595,2226047,612849,D,
H4 BROMAD 2,-29.92,1221.34,,0.5,54.95,,USDADrought6,C4,leaf,"13C, %N",3.1,2226033,612831,D,
H4 CLAPUR 2,-29.23,1423.47,,1.63,74.13,,USDADrought1,D12,leaf,"13C, %N",3.632,2225573,612231,D,
H4 ELYCAP 2,-29.64,1296.85,,1.07,44.79,,USDADrought5,E12,leaf,"13C, %N",3.404,2225969,612743,D,
H4 HOLVIR 1,-31.73,1303.33,,1.96,55.46,,USDADrought2,G9,leaf,"13C, %N",3.191,2225702,611571,D,
H4 MICCAL 2,-29.7,1423.25,,1.69,81.46,,USDADrought1,B3,leaf,"13C, %N",3.482,2225540,612192,D,
H4 PLAERE 2,-29.62,1433.46,,0.89,62.41,,USDADrought1,A10,leaf,"13C, %N",3.708,2225535,612181,D,
H4 TRIHIR 1,-31.68,1359.98,,-1.23,73.03,,USDADrought2,A12,leaf,"13C, %N",3.656,2225633,612313,D,
H5 AVEBAR 2,-30.59,1372.34,,1.8,94.49,,USDADrought7,C5,leaf,"13C, %N",3.353,2226130,613326,D,
H5 BRODIA 2,-30.23,1215.35,,0.73,48.65,,USDADrought6,H6,leaf,"13C, %N",3.178,2226095,613450,D,
H5 BROHOR 2,-31.13,1395.03,,1.49,83.5,,USDADrought4,F7,leaf,"13C, %N",3.481,2225880,613807,D,
H5 CLAPUR 2,-31.46,1400.52,,0.49,87.15,,USDADrought4,C9,leaf,"13C, %N",3.49,2225846,612589,D,
H5 DAUPUS 2,-32.15,1274.31,,1,43.16,,USDADrought6,G8,leaf,"13C, %N",3.327,2226085,613434,D,
H5 GERDIS 2,-30.98,1454.32,,1.1,85.19,,USDADrought2,E12,leaf,"13C, %N",3.769,2225681,612375,D,
H5 MADGRA 2,-31.18,1265.35,,1.66,80.51,,USDADrought3,F3,leaf,"13C, %N",3.218,2225780,612503,D,
H5 TORARV 2,-32.13,1224.04,,0.5,41.96,,USDADrought2,B5,leaf,"13C, %N",3.568,2225638,612320,D,
H5 VICSAT 2,-29.36,1445.95,,0.2,133.57,,USDADrought3,E9,leaf,"13C, %N",3.404,2225774,612493,D,
H6 BRODIA 2,-29.43,1472.16,,1.35,97.28,,USDADrought6,H10,leaf,"13C, %N",3.51,2226099,613454,D,
H6 BROHOR 2,-29.87,1537.99,,1.21,90.05,,USDADrought5,C10,leaf,"13C, %N",3.812,2225943,612709,D,
H6 CLAPUR 2,-30.34,1302.47,,1.32,95.15,,USDADrought1,E7,leaf,"13C, %N",3.384,2225580,612244,D,
H6 DAUPUS 2,-30.86,1366.76,,1.12,58.93,,USDADrought7,A4,leaf,"13C, %N",3.58,2226105,613291,D,
H6 HYPGLA 2,-30.3,1401.75,,1.82,80.51,,USDADrought3,E2,leaf,"13C, %N",3.431,2225767,612486,D,
H6 MADGRA 2,-31.58,1534.76,,2.06,92.26,,USDADrought3,F6,leaf,"13C, %N",3.755,2225783,612506,D,
H7 AVEBAR 2,-30.58,1368.55,,2.06,74.47,,USDADrought7,C4,leaf,"13C, %N",3.382,2226129,613325,D,
H7 BRODIA 2,-30.36,1435.47,,0.87,56.87,,USDADrought5,B8,leaf,"13C, %N",3.411,2225929,612691,D,
H7 BROHOR 2,-30.01,1351.1,,1,67.72,,USDADrought5,C7,leaf,"13C, %N",3.514,2225940,612706,D,
H7 BROMAD 2,-29.75,1255.75,,0.98,46.27,,USDADrought6,C5,leaf,"13C, %N",3.143,2226034,612832,D,
H7 CLAPUR 2,-30.35,1383.6,,0.03,67.21,,USDADrought4,C5,leaf,"13C, %N",3.41,2225842,612585,D,
H7 ELYCAP 2,-30.18,1216.65,,1.37,47.6,,USDADrought5,E11,leaf,"13C, %N",3.498,2225968,612742,D,
H7 EROBOT 1,-30.57,1248.72,,5.31,91.31,,USDADrought2,G3,leaf,"13C, %N",3.184,2225696,611565,D,
H7 HOLVIR 1,-31.32,1664.82,,0.76,65.62,,USDADrought3,C6,leaf,"13C, %N",3.804,2225747,612458,D,
H7 PLAERE 2,-29.78,1425.91,,1,67.36,,USDADrought1,A9,leaf,"13C, %N",3.656,2225534,612180,D,
H7 TRIHIR 2,-31.54,1469.18,,-0.91,105.06,,USDADrought2,A11,leaf,"13C, %N",3.905,2225632,612312,D,
H8 AVEFAT 2,-30.18,1290.47,,1.78,59.21,,USDADrought7,C3,leaf,"13C, %N",3.347,2226128,613324,D,
H8 BRODIA 2,-30.27,1368.06,,2.26,43.7,,USDADrought5,B7,leaf,"13C, %N",3.333,2225928,612690,D,
H8 BROHOR 2,-31.03,1353.19,,1.1,62.89,,USDADrought5,C9,leaf,"13C, %N",3.469,2225942,612708,D,
H8 BROMAD 2,-31.77,1289.86,,0.79,44.67,,USDADrought6,C6,leaf,"13C, %N",3.36,2226035,612833,D,
H8 CENMEL 2,-30.37,1270.26,,1.89,80.97,,USDADrought1,G2,leaf,"13C, %N",3.31,2225599,612269,D,
H8 MICCAL 2,-30.38,1574.09,,1.36,87.39,,USDADrought1,B10,leaf,"13C, %N",3.848,2225547,612199,D,
I1 AVEBAR 2,-29.97,1446.18,,1.25,83.19,,USDADrought7,C6,leaf,"13C, %N",3.617,2226131,613327,D,
I1 BRODIA 2,-30.91,1580.85,,0.74,67.61,,USDADrought4,B2,leaf,"13C, %N",3.993,2225827,612564,D,
I1 BROHOR 2,-30.29,1329.74,,1.12,59.09,,USDADrought6,E8,leaf,"13C, %N",3.473,2226061,613826,D,
I1 CLAPUR 2,-30.89,1436.37,,1.31,88.27,,USDADrought4,C10,leaf,"13C, %N",3.511,2225847,612590,D,
I1 DAUPUS 1,-31.84,1398.6,,0.42,50.39,,USDADrought6,G10,leaf,"13C, %N",3.508,2226087,613436,D,
I1 GERDIS 2,-31.43,1455.43,,0.99,74.62,,USDADrought2,E8,leaf,"13C, %N",3.756,2225677,612371,D,
I1 MADGRA 2,-29.95,1369.13,,0.97,68.73,,USDADrought3,A6,leaf,"13C, %N",3.47,2225723,612424,D,
I1 TORARV 2,-31.02,1363.09,,0.41,45.15,,USDADrought2,C6,leaf,"13C, %N",3.965,2225651,612339,D,
I1 VICSAT 2,-28.25,1737.35,,0.24,193.9,,USDADrought3,E12,leaf,"13C, %N",3.971,2225777,612496,D,
I2 AVEFAT 2,-30.32,1372.82,,1.63,64.69,,USDADrought4,H10,leaf,"13C, %N",3.506,2225907,613585,D,
I2 BRODIA 2,-30.59,1396.11,,0.99,45.91,,USDADrought4,B4,leaf,"13C, %N",3.57,2225829,612566,D,
I2 BROHOR 2,-31.67,1382.2,,1.4,54.39,,USDADrought6,E7,leaf,"13C, %N",3.81,2226060,613825,D,
I2 BROMAD 2,-31.72,1338.55,,0.62,58.51,,USDADrought6,D3,leaf,"13C, %N",3.45,2226044,612846,D,
I2 CENMEL 2,-31.97,1489.71,,2.28,103.29,,USDADrought3,A10,leaf,"13C, %N",3.551,2225727,612428,D,
I2 EROCIC 2,-30.36,1196.04,,4.21,92.46,,USDADrought2,D7,leaf,"13C, %N",3.243,2225664,612356,D,
I2 MICCAL 2,-30,1380.8,,1.07,70.05,,USDADrought6,F10,leaf,"13C, %N",3.379,2226075,613844,D,
I3 AVEBAR 2,-28.89,1368.68,,2.04,98.03,,USDADrought4,H7,leaf,"13C, %N",3.389,2225904,613582,D,
I3 BROARE 2,-30.39,1127.13,,1.54,63.39,,USDADrought1,H4,leaf,"13C, %N",3.17,2225613,612289,D,
I3 BRODIA 2,-31.56,1378.94,,0.26,46.4,,USDADrought4,B5,leaf,"13C, %N",3.484,2225830,612567,D,
I3 BROMAD 2,-32.42,1200.17,,0.54,58.46,,USDADrought3,C5,leaf,"13C, %N",3.015,2225746,612457,D,
I3 EROCIC 2 a,-31.08,1366.87,,1.15,84.88,,USDADrought1,F12,leaf,"13C, %N",3.625,2225597,612265,D,
I3 EROCIC 2 b,-31.43,1205.82,,2.02,70.1,,USDADrought2,E2,leaf,"13C, %N",3.712,2225671,612365,D,
I3 PHATAN 2,-31.23,1448.41,,5.38,62.84,,USDADrought5,E4,leaf,"13C, %N",3.881,2225961,612735,D,
I4 AVEBAR 2,-31.12,1425.53,,1.02,87.71,,USDADrought5,E1,leaf,"13C, %N",3.605,2225958,612732,D,
I4 BRODIA 2,-31.47,1261.82,,0.25,51.94,,USDADrought1,D3,leaf,"13C, %N",3.258,2225564,612222,D,
I4 BROHOR 2,-30.53,1217.74,,1.18,67.39,,USDADrought6,E6,leaf,"13C, %N",3.226,2226059,613824,D,
I4 CLAPUR 2,-31.96,1587.02,,2.73,60.43,,USDADrought4,C11,leaf,"13C, %N",3.947,2225848,612591,D,
I4 DAUPUS 2,-32.72,1333.47,,0.71,65.96,,USDADrought6,G4,leaf,"13C, %N",3.525,2226081,613430,D,
I4 EROBOT 1,-31.54,1468.04,,2.96,119.61,,USDADrought2,G4,leaf,"13C, %N",3.657,2225697,611566,D,
I4 GERDIS 2,-32.04,1330.23,,0.87,63.75,,USDADrought2,E7,leaf,"13C, %N",3.586,2225676,612370,D,
I4 MADGRA 2,-30.89,1303.25,,1.16,64.37,,USDADrought3,F10,leaf,"13C, %N",3.273,2225787,612510,D,
I4 TORARV 2,-31.16,1295.36,,0.68,69.74,,USDADrought2,C4,leaf,"13C, %N",3.822,2225649,612337,D,
I4 VICSAT 2,-29.02,1546.58,,0.24,189.38,,USDADrought3,E5,leaf,"13C, %N",3.62,2225770,612489,D,
I5 AIRCAR 2,-31.1,1147.58,,1.11,30,,USDADrought1,F2,leaf,"13C, %N",3.058,2225587,612255,D,
I5 BRODIA 2,-30.02,1273.42,,0.98,66.81,,USDADrought4,A7,leaf,"13C, %N",3.145,2225820,612555,D,
I5 BROHOR 2,-30.2,1460.88,,1.13,79.71,,USDADrought6,D10,leaf,"13C, %N",3.541,2226051,612853,D,
I5 CLAPUR 2,-30.98,1503.57,,1.1,109.16,,USDADrought1,D11,leaf,"13C, %N",3.861,2225572,612230,D,
I5 HYPGLA 2,-29.55,1276.6,,1.39,79.39,,USDADrought3,D9,leaf,"13C, %N",3.097,2225762,612475,D,
I5 MADGRA 2,-31.34,1318.18,,1.03,89.33,,USDADrought3,F2,leaf,"13C, %N",3.277,2225779,612502,D,
I6 BRODIA 2,-30.29,1532.29,,1.17,67.81,,USDADrought4,A8,leaf,"13C, %N",3.724,2225821,612556,D,
I6 BROHOR 2,-29,1436.12,,0.8,80.96,,USDADrought6,E10,leaf,"13C, %N",3.741,2226063,613828,D,
I6 CLAPUR 2,-31.09,1432.79,,1.19,97.11,,USDADrought1,E9,leaf,"13C, %N",3.676,2225582,612246,D,
I6 DAUPUS 2,-31.02,1190.66,,0.66,59.16,,USDADrought4,C2,leaf,"13C, %N",3.039,2225839,612582,D,
I6 HYPGLA 2,-30.29,1569.51,,3.13,102.76,,USDADrought3,D8,leaf,"13C, %N",3.832,2225761,612474,D,
I6 MADGRA 2,-31.48,1588.99,,1.96,102.29,,USDADrought3,H2,leaf,"13C, %N",3.972,2225803,612534,D,
I7 AVEBAR 2,-30.43,1450.95,,1.39,87.15,,USDADrought6,A5,leaf,"13C, %N",3.518,2226010,612800,D,
I7 BRODIA 2,-30.99,1439.17,,0.47,50.16,,USDADrought5,B9,leaf,"13C, %N",3.476,2225930,612692,D,
I7 BROHOR 2,-29.92,1449.79,,1.35,70.99,,USDADrought6,D12,leaf,"13C, %N",3.544,2226053,612855,D,
I7 BROMAD 2,-30.68,1402.84,,1.53,57.52,,USDADrought5,G11,leaf,"13C, %N",3.423,2225992,612772,D,
I7 CLAPUR 2,-31.49,1333.36,,2.89,67.47,,USDADrought4,E6,leaf,"13C, %N",3.253,2225867,612616,D,
I7 ELYCAP 2,-29.55,1142.4,,0.8,43.09,,USDADrought5,F1,leaf,"13C, %N",3.353,2225970,612748,D,
I7 HOLVIR 1,-31.61,1401.1,,1.5,68.49,,USDADrought2,G10,leaf,"13C, %N",3.379,2225703,611572,D,
I7 MICCAL 2,-30.67,1442.19,,1.36,73.98,,USDADrought6,F6,leaf,"13C, %N",3.543,2226071,613840,D,
I7 PLAERE 2,-27.77,1528.57,,1.42,41.82,,USDADrought5,F11,leaf,"13C, %N",3.922,2225980,612758,D,
I8 AIRCAR 2,-28.69,1290.25,,1.03,28.61,,USDADrought1,F1,leaf,"13C, %N",3.113,2225586,612254,D,
I8 BRODIA 2,-29.5,1518.23,,1.29,54.07,,USDADrought5,B1,leaf,"13C, %N",3.817,2225922,612684,D,
I8 BROHOR 2,-29.62,1306.2,,1.46,63.13,,USDADrought6,E2,leaf,"13C, %N",3.344,2226055,613820,D,
I8 CLAPUR 2,-30.53,1434.57,,1.55,91.36,,USDADrought1,E2,leaf,"13C, %N",3.699,2225575,612239,D,
I8 DAUPUS 2,-31.78,1416.84,,0.86,66.02,,USDADrought6,G11,leaf,"13C, %N",3.576,2226088,613437,D,
I8 HYPGLA 2,-30.99,1434.15,,2.9,47.01,,USDADrought3,D7,leaf,"13C, %N",3.654,2225760,612473,D,
I8 MADGRA 2,-31.15,1496.1,,1.19,94.45,,USDADrought3,H1,leaf,"13C, %N",3.784,2225802,612533,D,
J1 AVEBAR 2,-30.06,1286.23,,2.08,81.5,,USDADrought7,C12,leaf,"13C, %N",3.13,2226137,613333,D,
J1 BRODIA 2,-30.4,1406.16,,0.47,55.83,,USDADrought2,H5,leaf,"13C, %N",3.71,2225710,611585,D,
J1 BROHOR 2,-30.2,1400.17,,1.53,67.14,,USDADrought6,F1,leaf,"13C, %N",3.607,2226066,613835,D,
J1 CLAPUR 2,-31.67,1372.56,,2.07,68.67,,USDADrought4,C6,leaf,"13C, %N",3.438,2225843,612586,D,
J1 DAUPUS 2,-31.64,1513.24,,0.47,61.66,,USDADrought6,F12,leaf,"13C, %N",3.983,2226077,613846,D,
J1 EROBOT 2,-32.49,1304.97,,3.69,56.93,,USDADrought2,F4,leaf,"13C, %N",3.434,2225685,613698,D,
J1 GERDIS 2,-30.45,1463.86,,0.5,75.84,,USDADrought1,A1,leaf,"13C, %N",3.906,2225526,612172,D,
J1 LUPBIC 2,-32.75,1465.61,,0.2,74.22,,USDADrought3,H4,leaf,"13C, %N",3.531,2225805,612536,D,
J1 MADGRA 2,-31.56,1454.3,,1.55,73.49,,USDADrought3,G8,leaf,"13C, %N",3.708,2225797,612522,D,
J1 TORARV 2,-31.68,874.1,,0.77,29.9,,USDADrought1,H10,leaf,"13C, %N",2.595,2225619,612295,D,
J1 TRIHIR 2,-30.12,1326.45,,-0.53,85.8,,USDADrought2,B1,leaf,"13C, %N",3.652,2225634,612316,D,
J1 VICSAT 2,-29.4,1455.78,,0.26,148.09,,USDADrought3,E8,leaf,"13C, %N",3.392,2225773,612492,D,
J2 BRODIA 2,-30.49,1434.55,,0.69,79.71,,USDADrought5,C6,leaf,"13C, %N",3.424,2225939,612705,D,
J2 BROHOR 2,-30.15,1295.45,,0.56,58.34,,USDADrought6,D5,leaf,"13C, %N",3.252,2226046,612848,D,
J2 CLAPUR 2,-30.52,1423.47,,1.85,97.29,,USDADrought1,E8,leaf,"13C, %N",3.642,2225581,612245,D,
