Sample_ID,δ13CVPDB_permil,Total_C_µg,C_Comment,δ15NAir_permil,Total_N_µg,N_Comment,Tray_Name,Well_Id,Type_of_Material,Analysis,Sample_Weight_mg_from_Sample_List,Internal_ID,Analysis_Number,Mass_Spec,Error
D4 HOLVIR 2,-30.15,1616.71,,1.97,55.52,,USDADrought4,F1,leaf,"13C, %N",3.794,2225874,613801,D,
D4 PLAERE 2,-30.1,1376.98,,3.09,66.15,,USDADrought3,B10,leaf,"13C, %N",3.262,2225739,612446,D,
D5 AVEBAR 2,-29.13,1594.82,,3.47,124.36,,USDADrought6,A6,leaf,"13C, %N",3.696,2226011,612801,D,
D5 BROARE 2,-29.62,1178.48,,1.37,65.34,,USDADrought1,H8,leaf,"13C, %N",3.2,2225617,612293,D,
D5 BRODIA 2,-30.35,1327.33,,1.18,56.94,,USDADrought2,H8,leaf,"13C, %N",3.502,2225713,611588,D,
D5 BROMAD 2,-30.72,1403.96,,1.36,56.79,,USDADrought3,C2,leaf,"13C, %N",3.616,2225743,612454,D,
D5 LUPMIC 1,-30.46,1328.77,,-0.21,82.54,,USDADrought5,F7,leaf,"13C, %N",3.463,2225976,612754,D,
D5 PHATAN 1,-28.35,1542.16,,5.12,128.38,,USDADrought1,A11,leaf,"13C, %N",3.972,2225536,612182,D,
D6 AVEBAR 2,-29.77,1432.57,,3.15,101.45,,USDADrought7,C11,leaf,"13C, %N",3.459,2226136,613332,D,
D6 BRODIA 2,-28.93,1468.36,,2.68,66.63,,USDADrought4,F3,leaf,"13C, %N",3.801,2225876,613803,D,
D6 BROHOR 2,-31.09,1460.85,,2.44,92.93,,USDADrought4,H6,leaf,"13C, %N",3.6,2225903,613581,D,
D6 CLAPUR 2,-31.52,1306.44,,2.07,57.47,,USDADrought4,C8,leaf,"13C, %N",3.232,2225845,612588,D,
D6 DAUPUS 2,-32.24,1293.37,,0.91,53.62,,USDADrought6,G5,leaf,"13C, %N",3.302,2226082,613431,D,
D6 EROBOT 2,-30.28,1372.47,,4.21,90.95,Integration error. Interpret data cautiously,USDADrought2,G5,leaf,"13C, %N",3.616,2225698,611567,D,old
D6 EROBOT 2,-29.44,1770.9,,3.95,123.07,,USDADroughtR,A2,leaf,"13C, %N",4.383,2266653,629530,D,new
D6 GERDIS 2,-30.56,1475.62,,3.31,106.41,,USDADrought1,F6,leaf,"13C, %N",3.536,2225591,612259,D,
D6 MADGRA 2,-31.68,1300.07,,2.99,66.15,,USDADrought3,G6,leaf,"13C, %N",3.321,2225795,612520,D,
D6 TORARV 2,-32.1,1305.13,,0.43,53.68,,USDADrought2,B3,leaf,"13C, %N",3.813,2225636,612318,D,
D6 TRIHIR 2,-32.37,1431.21,,-0.6,91.72,,USDADrought3,B4,leaf,"13C, %N",3.47,2225733,612440,D,
D6 VICSAT 2,-28.83,1352.96,,0.29,119.07,,USDADrought3,E7,leaf,"13C, %N",3.171,2225772,612491,D,
D7 BRODIA 2,-30.07,1405.62,,1.62,42.87,,USDADrought5,A8,leaf,"13C, %N",3.647,2225917,612673,D,
D7 BROHOR 2,-29.63,1218.81,,2.14,77.46,,USDADrought4,H4,leaf,"13C, %N",3.147,2225901,613579,D,
D7 BROMAD 2,-31.69,1287.99,,1.15,61.18,,USDADrought6,C9,leaf,"13C, %N",3.277,2226038,612836,D,
D7 CENMEL 2,-30.97,1390.62,,3.15,91.36,,USDADrought1,G12,leaf,"13C, %N",3.669,2225609,612279,D,
D7 MICCAL 2,-30.75,1286.25,,0.88,63.63,,USDADrought1,B5,leaf,"13C, %N",3.402,2225542,612194,D,
D8 BRODIA 2,-31.16,1248.06,,2.41,50.17,,USDADrought2,H6,leaf,"13C, %N",3.307,2225711,611586,D,
D8 BROHOR 2,-29.6,1482.72,,1.94,97.9,,USDADrought1,C1,leaf,"13C, %N",3.759,2225550,612206,D,
D8 BROMAD 2,-31.08,1402.84,,1.66,67.58,,USDADrought5,H10,leaf,"13C, %N",3.543,2226003,612789,D,
D8 CENMEL 2,-31.19,1363.09,,1.73,74.56,,USDADrought1,G8,leaf,"13C, %N",3.909,2225605,612275,D,
D8 MICCAL 2,-30.56,1587.84,,1.36,50.47,,USDADrought1,B2,leaf,"13C, %N",3.952,2225539,612191,D,
E1 BRODIA 2,-30.06,1403.54,,2.18,52.51,,USDADrought5,A7,leaf,"13C, %N",3.507,2225916,612672,D,
E1 BROHOR 1,-28.88,1329.27,,2.29,82.99,,USDADrought6,E5,leaf,"13C, %N",3.334,2226058,613823,D,
E1 CLAPUR 2,-31.21,1334.67,,1.15,62.35,,USDADrought1,E12,leaf,"13C, %N",3.484,2225585,612249,D,
E1 DAUPUS 2,-30.73,1494.82,,0.85,74.08,,USDADrought6,H2,leaf,"13C, %N",3.803,2226091,613446,D,
E1 HYPGLA 2,-30.56,1510.87,,0.89,52.87,,USDADrought3,D4,leaf,"13C, %N",3.795,2225757,612470,D,
E1 MADGRA 2,-31.42,1471.26,,1.6,104.75,,USDADrought3,F1,leaf,"13C, %N",3.723,2225778,612501,D,
E2 AVEBAR 2,-29.66,1421.86,,2.64,94.93,,USDADrought7,B6,leaf,"13C, %N",3.446,2226119,613311,D,
E2 BROARE 2,-30.11,1381.08,,1.08,51.34,,USDADrought2,B11,leaf,"13C, %N",3.557,2225644,612326,D,
E2 BRODIA 2,-30.84,1453.72,,1.19,54.75,,USDADrought5,C4,leaf,"13C, %N",3.489,2225937,612703,D,
E2 BROMAD 2,-31.28,1415.12,,3.61,79.42,,USDADrought5,G12,leaf,"13C, %N",3.429,2225993,612773,D,
E2 EROCIC 2 a,-29.44,1465.41,,2.85,82.69,,USDADrought1,F10,leaf,"13C, %N",3.857,2225595,612263,D,
E2 EROCIC 2 b,-29.6,1182.48,,2.87,67.05,,USDADrought2,E3,leaf,"13C, %N",3.761,2225672,612366,D,
E2 LUPMIC 1,-29.29,1438.71,,-0.04,98.48,,USDADrought5,F8,leaf,"13C, %N",3.718,2225977,612755,D,
E2 PHATAN 2,-28.82,1515.24,,2.74,77.79,,USDADrought5,E10,leaf,"13C, %N",3.798,2225967,612741,D,
E3 BRODIA 2,-30.05,1459.03,,0.77,47.16,,USDADrought5,A2,leaf,"13C, %N",3.605,2225911,612667,D,
E3 BROHOR 2,-28.28,1569.4,,1.55,84.39,,USDADrought6,E9,leaf,"13C, %N",3.993,2226062,613827,D,
E3 CLAPUR 2,-29.95,1439.45,,-0.04,83.24,,USDADrought1,E1,leaf,"13C, %N",3.814,2225574,612238,D,
