sample,total.leaf.area
D2BROHOR2_20230503,1.596
D4BROHOR2_20230503,1.719
D6BROHOR2_20230503,2.44
D7BROHOR2_20230503,1.596
D8BROHOR2_20230503,1.3
E1BROHOR2_20230503,1.92
E3BROHOR2_20230503,2.488
E5BROHOR2_20230503,1.72
E6BROHOR2_20230503,1.225
E7BROHOR2_20230503,1.369
E8BROHOR2_20230503,2.101
F1BROHOR2_20230503,1.981
F3BROHOR2_20230503,1.684
F4BROHOR2_20230503,1.972
F5BROHOR2_20230503,1.672
F6BROHOR2_20230503,1.827
F8BROHOR2_20230503,2.36
G1BROHOR2_20230505,1.702
G2BROHOR2_20230505,2.053
G3BROHOR2_20230505,1.851
G5BROHOR2_20230505,1.759
G6BROHOR2_20230505,2.304
G7BROHOR2_20230505,2.803
G8BROHOR2_20230505,0.991
H1BROHOR2_20230505,1.743
H2BROHOR2_20230505,1.654
H4BROHOR2_20230505,2.213
H5BROHOR2_20230503,1.976
H6BROHOR2_20230503,1.774
H7BROHOR2_20230503,2
H8BROHOR2_20230503,1.689
I1BROHOR2_20230503,2.276
I2BROHOR2_20230503,1.579
I4BROHOR2_20230503,2.254
I5BROHOR2_20230503,2.391
I6BROHOR2_20230503,1.805
I7BROHOR2_20230503,1.666
I8BROHOR2_20230503,2.075
J1BROHOR2_20230503,1.814
J2BROHOR2_20230503,2.186
J3BROHOR2_20230503,1.707
J5BROHOR2_20230503,2.171
J6BROHOR2_20230503,1.363
J8BROHOR2_20230503,1.552
A4BROMAD2_20230424,1.467
A5BROMAD2_20230424,0.911
A6BROMAD2_20230424,1.269
A7BROMAD2_20230424,1.303
A8BROMAD2_20230424,1.398
B2BROMAD2_20230424,1.406
B3BROMAD2_20230424,0.663
B5BROMAD2_20230424,1.543
B6BROMAD2_20230424,1.263
B8BROMAD2_20230424,1.419
C1BROMAD2_20230424,1.239
C2BROMAD2_20230424,0.794
C6BROMAD2_20230424,1.8
C7BROMAD2_20230423,1.423
D3BROMAD2_20230424,0.942
D4BROMAD2_20230423,0.884
D5BROMAD2_20230423,2.005
D7BROMAD2_20230423,1.179
D8BROMAD2_20230423,1.184
E2BROMAD2_20230423,1.223
E4BROMAD2_20230423,1.372
E5BROMAD1_20230423,1.248
E6BROMAD2_20230423,1.01
E7BROMAD2_20230424,1.022
F2BROMAD2_20230424,1.32
F4BROMAD2_20230424,1.102
F5BROMAD2_20230424,1.201
F6BROMAD2_20230424,1.077
F7BROMAD2_20230424,1.739
G2BROMAD2_20230424,1.75
G3BROMAD2_20230424,1.73
G4BROMAD2_20230424,0.777
G5BROMAD2_20230424,1.215
H3BROMAD2_20230424,1.924
H4BROMAD2_20230424,1.131
H7BROMAD2_20230423,1.432
H8BROMAD2_20230423,1.06
HIBROMAD2_20230424,1.303
I2BROMAD2_20230424,1.152
I3BROMAD2_20230423,0.785
I7BROMAD2_20230423,1.041
J3BROMAD2_20230423,1.466
J4BROMAD2_20230423,1.991
J5BROMAD2_20230423,1.101
J6BROMAD2_20230423,1.095
J7BROMAD2_20230423,1.634
J8BROMAD2_20230423,1.308
A7CALMEN1_20230403,0.61
B3CALMEN1_20230403,0.929
B6CALMEN1_20230403,0.392
C2CALMEN1_20230403,0.045
D8CALMEN2_20230403,1.091
E5CALMEN1_20230403,0.905
E6CALMEN2_20230403,0.43
I2CALMEN1_20230403,0.971
J8CALMEN1_20230403,1.745
A4CAUCOU2_20230423,3.934
A6CENMEL2_20230507,4.651
A7CENMEL2_20230507,4.192
B3CENMEL2_20230507,6.053
B6CENMEL2_20230507,4.8
C2CENMEL2_20230507,5.951
D7CENMEL2_20230507,5.155
D8CENMEL2_20230507,3.877
E5CENMEL2_20230507,4.417
E6CENMEL2_20230507,3.487
F6CENMEL2_20230507,5.056
G3CENMEL2_20230507,4.719
H1CENMEL2_20230507,4.296
H8CENMEL2_20230507,5.995
I2CENMEL2_20230507,5.32
J5CENMEL2_20230507,4.677
J8CENMEL2_20230507,5.173
A1CLAPUR2_20230505,0.784
A3CLAPUR2_20230505,1.645
A5CLAPUR2_20230505,1.008
A8CLAPUR2_20230505,0.965
B1CLAPUR2_20230505,1.235
B2CLAPUR2_20230505,1.191
B4CLAPUR2_20230505,1.06
B5CLAPUR2_20230505,1.611
B7CLAPUR2_20230505,1.556
C1CLAPUR2_20230505,1.429
C3CLAPUR2_20230505,0.795
C4CLAPUR2_20230505,1.651
C5CLAPUR2_20230505,1.566
C8CLAPUR2_20230505,1.232
D1CLAPUR2_20230507,0.693
D2CLAPUR2_20230507,1.175
D4CLAPUR2_20230507,1.061
D6CLAPUR2_20230507,1.614
E1CLAPUR2_20230507,0.66
