Plant_ID,Date,Month,Recorder,Height_cm,Leaf_number,canopy_x,canopy_y,Quadrant,Notes,Entry_Notes
A1.DANCAL.1,NA,NA,NA,NA,NA,NA,NA,NA,,
A1.ACMPAR.1,2023-02-14,February,BW/RA,0.5,51,3.75,1.50,,leaf number in leaflets,
A1.GALPAR.1,2023-02-14,February,BW/RA,NA,NA,NA,NA,,,
A1.BROHOR.1,2023-02-14,February,BW/RA,NA,NA,NA,NA,,,
A1.HYPGLA.1,2023-02-14,February,BW/RA,0.25,7,1.75,1.50,,,
A1.DAUPUS.1,1900-01-14,February,BW/RA,0.5,5,3.00,2.25,,,
A1.AIRCAR.1,2023-02-14,February,BW/RA,1.5,4,2.00,1.00,,,
A1.SANBIP.1,2023-02-14,February,BW/RA,NA,NA,NA,NA,,,
A1.BRODIA.1,2023-02-14,February,BW/RA,NA,NA,NA,NA,,,
A1.MADGRA.1,2023-02-14,February,BW/RA,1.5,6,5.25,6.75,,,
A1.ESCCAL.1,NA,NA,NA,NA,NA,NA,NA,,,
A1.CLAPUR.1,2023-02-14,February,BW/RA,1,25,2.25,1.75,,,
A2.PHATAN.1,2023-02-14,February,BW/RA,NA,NA,NA,NA,,,
A2.EROCIC.1,2023-02-14,February,BW/RA,4,13,13.00,8.50,,,
A2.BROMAD.1,2023-02-14,February,BW/RA,NA,NA,NA,NA,,,
A2.BRODIA.1,2023-02-14,February,BW/RA,NA,NA,NA,NA,,,
A2.ESCCAL.1,2023-02-14,February,BW/RA,3,8,4.75,3.25,,,
A2.BROARE.1,2023-02-14,February,BW/RA,NA,NA,NA,NA,,,
A2.CAUCOU.1,2023-02-14,February,BW/RA,NA,NA,NA,NA,,skipped for now,
A2.AVEBAR.1,2023-02-14,February,BW/RA,NA,NA,NA,NA,,,
A2.LUPMIC.1,2023-02-14,February,BW/RA,NA,NA,NA,NA,,,
A2.MIRMUL.1,2023-02-14,February,BW/RA,NA,NA,NA,NA,,,
A2.AMSMEN.1,2023-02-14,February,BW/RA,4,22,10.00,10.00,,,
A2.LUPSUC.1,2023-02-14,February,BW/RA,NA,NA,NA,NA,,,
A3.MADGRA.1,2023-02-14,February,BW/RA,5.25,10,14.00,14.50,,,
A3.LUPBIC.1,2023-02-14,February,BW/RA,2.5,5,4.00,3.00,,,
A3.EROBOT.1,2023-02-14,February,BW/RA,4,10,12.50,11.00,,,
A3.AVEBAR.1,2023-02-14,February,BW/RA,NA,NA,NA,NA,,,
A3.GERDIS.1,2023-02-14,February,BW/RA,1,3,2.50,1.50,,,
A3.VICSAT.1,2023-02-14,February,BW/RA,8,20,15.25,10.50,,,
A3.TRIHIR.1,2023-02-14,February,BW/RA,0.75,2,1.00,1.00,,,
A3.TORARV.1,2023-02-14,February,BW/RA,1.25,3,4.00,3.50,,,
A3.CLAPUR.1,2023-02-14,February,BW/RA,3.5,20,4.50,4.50,,,
A3.BRODIA.1,2023-02-14,February,BW/RA,NA,NA,NA,NA,,,
A3.DAUPUS.1,2023-02-14,February,BW/RA,0.75,4,3.50,2.75,,,
A3.BROHOR.1,2023-02-14,February,BW/RA,NA,NA,NA,NA,,,
A4.PHATAN.1,2023-02-14,February,BW/RA,4.74,6,11.00,7.00,,,
A4.EROCIC.1,2023-02-14,February,BW/RA,1,6,3.50,2.50,,,
A4.BROMAD.1,NA,NA,NA,NA,NA,NA,NA,,,
A4.BRODIA.1,NA,NA,NA,NA,NA,NA,NA,,,
A4.ESCCAL.1,2023-02-14,February,BW/RA,2.75,9,3.50,2.50,,,
A4.BROARE.1,NA,NA,NA,NA,NA,NA,NA,,,
A4.CAUCOU.1,2023-02-14,February,BW/RA,NA,NA,NA,NA,,,
A4.AVEBAR.1,NA,NA,NA,NA,NA,NA,NA,,,
A4.LUPMIC.1,NA,NA,NA,NA,NA,NA,NA,,,
A4.MIRMUL.1,NA,NA,NA,NA,NA,NA,NA,,,
A4.AMSMEN.1,2023-02-14,February,BW/RA,1.5,19,9.00,11.00,,,
A4.LUPSUC.1,NA,NA,NA,NA,NA,NA,NA,,,
A5.LUPBIC.1,2023-02-14,February,BW/RA,1,10,2.00,1.50,,,
A5.EROBOT.1,2023-02-14,February,BW/RA,1,9,7.75,7.50,,,
A5.MICCAL.1,2023-02-14,February,BW/RA,2.5,56,2.00,2.50,,,
A5.ELYCAP.1,2023-02-14,February,BW/RA,2,15,8.00,8.50,,,
A5.CLAPUR.1,2023-02-14,February,BW/RA,2,18,3.50,2.50,,,
A5.HOLVIR.1,2023-02-14,February,BW/RA,1,2,1.50,1.25,,,
A5.PLAERE.1,2023-02-14,February,BW/RA,3.5,13,4.25,3.50,,,
A5.TRIHIR.1,NA,NA,NA,NA,NA,NA,NA,,,
A5.AVEBAR.1,NA,NA,NA,NA,NA,NA,NA,,,
A5.BROHOR.1,NA,NA,NA,NA,NA,NA,NA,,,
A5.BRODIA.1,NA,NA,NA,NA,NA,NA,NA,,,
A5.BROMAD.1,NA,NA,NA,NA,NA,NA,NA,,,
A6.EROCIC.1,2023-02-14,February,BW/RA,1,13,4.00,3.25,,,
A6.CENMEL.1,2023-02-14,February,BW/RA,1,7,5.50,5.00,,,
A6.ESCCAL.1,2023-02-14,February,BW/RA,2,11,4.50,4.00,,,
A6.STIPUL.1,NA,NA,NA,NA,NA,NA,NA,,,
A6.AVEBAR.1,NA,NA,NA,NA,NA,NA,NA,,,
A6.BRODIA.1,NA,NA,NA,NA,NA,NA,NA,,,
A6.BROHOR.1,NA,NA,NA,NA,NA,NA,NA,,,
A6.CORFIL.1,2023-02-14,February,BW/RA,2.25,6,2.75,2.50,,,
A6.BROMAD.1,NA,NA,NA,NA,NA,NA,NA,,,
A6.CALMEN.1,NA,NA,NA,NA,NA,NA,NA,,,
A6.MICCAL.1,2023-02-14,February,BW/RA,2,15,1.00,1.00,,,
A7.CENMEL.1,2023-02-14,February,BW/RA,1,6,4.50,3.75,,,
A7.ESCCAL.1,2023-02-14,February,BW/RA,2,8,5.50,4.50,,,
A7.STIPUL.1,NA,NA,NA,NA,NA,NA,NA,,,
A7.AVEBAR.1,NA,NA,NA,NA,NA,NA,NA,,,
A7.BRODIA.1,NA,NA,NA,NA,NA,NA,NA,,,
A7.BROHOR.1,NA,NA,NA,NA,NA,NA,NA,,,
A7.CORFIL.1,2023-02-14,February,BW/RA,1.75,5,3.00,2.00,,,
A7.BROMAD.1,NA,NA,NA,NA,NA,NA,NA,,,
A7.CALMEN.1,2023-02-14,February,BW/RA,1.75,12,5.00,4.50,,,
A7.MICCAL.1,2023-02-14,February,BW/RA,3,41,2.00,2.00,,,
A8.LUPBIC.1,2023-02-14,February,BW/RA,2,11,2.50,2.00,,,
A8.EROBOT.1,NA,NA,NA,NA,NA,NA,NA,,,
A8.MICCAL.1,2023-02-14,February,BW/RA,2,19,1.50,1.00,,,
A8.ELYCAP.1,2023-02-14,February,BW/RA,3.5,11,9.50,6.50,,,
A8.CLAPUR.1,2023-02-14,February,BW/RA,2,28,4.00,2.50,,,
A8.HOLVIR.1,2023-02-14,February,BW/RA,0.5,2,1.00,1.00,,,
A8.PLAERE.1,2023-02-14,February,BW/RA,3,14,4.50,3.50,,,
A8.TRIHIR.1,2023-02-14,February,BW/RA,1,5,4.25,4.00,,,
A8.AVEBAR.1,NA,NA,NA,NA,NA,NA,NA,,,
A8.BROHOR.1,NA,NA,NA,NA,NA,NA,NA,,,
A8.BRODIA.1,NA,NA,NA,NA,NA,NA,NA,,,
A8.BROMAD.1,NA,NA,NA,NA,NA,NA,NA,,,
B1.MADGRA.1,2023-02-14,February,BW/RA,4.25,10,13.25,9.75,,,
B1.LUPBIC.1,2023-02-14,February,BW/RA,1.5,4,5.50,3.50,,,
B1.EROBOT.1,NA,NA,NA,NA,NA,NA,NA,,,
B1.AVEBAR.1,NA,NA,NA,NA,NA,NA,NA,,,
B1.GERDIS.1,2023-02-14,February,BW/RA,0.75,5,5.00,4.00,,,
B1.VICSAT.1,2023-02-14,February,BW/RA,4.75,10,16.50,7.00,,,
B1.TRIHIR.1,NA,NA,NA,NA,NA,NA,NA,,,
B1.TORARV.1,2023-02-14,February,BW/RA,1,3,4.50,2.75,,,
B1.CLAPUR.1,2023-02-14,February,BW/RA,2.5,20,3.75,4.00,,,
B1.DAUPUS.1,2023-02-14,February,BW/RA,1.75,3,3.00,3.00,,,
B1.BRODIA.1,NA,NA,NA,NA,NA,NA,NA,,,
B1.BROHOR.1,NA,NA,NA,NA,NA,NA,NA,,,
B2.LUPBIC.1,2023-02-14,February,BW/RA,1.5,2,3.50,2.00,,several eaten leaves,
B2.EROBOT.1,2023-02-14,February,BW/RA,1.5,8,5.50,4.50,,,
B2.MICCAL.1,2023-02-14,February,BW/RA,2.5,51,3.50,2.50,,,
B2.ELYCAP.1,2023-02-14,February,BW/RA,5.25,30,11.50,11.00,,,
B2.CLAPUR.1,2023-02-14,February,BW/RA,2.25,21,5.00,3.25,,,
B2.HOLVIR.1,2023-02-14,February,BW/RA,0.75,2,2.25,1.50,,,
B2.PLAERE.1,2023-02-14,February,BW/RA,3,9,2.75,2.50,,,
B2.TRIHIR.1,2023-02-14,February,BW/RA,1,5,4.00,1.00,,,
B2.AVEBAR.1,NA,NA,NA,NA,NA,NA,NA,,,
B2.BROHOR.1,NA,NA,NA,NA,NA,NA,NA,,,
B2.BRODIA.1,NA,NA,NA,NA,NA,NA,NA,,,
B2.BROMAD.1,NA,NA,NA,NA,NA,NA,NA,,,
B3.EROCIC.1,2023-02-14,February,BW/RA,0.5,7,3.00,3.00,,,
B3.CENMEL.1,2023-02-14,February,BW/RA,0.75,8,5.50,7.00,,,
B3.ESCCAL.1,2023-02-14,February,BW/RA,5,10,10.50,9.75,,,
B3.STIPUL.1,NA,NA,NA,NA,NA,NA,NA,,,
B3.AVEBAR.1,NA,NA,NA,NA,NA,NA,NA,,,
B3.BRODIA.1,NA,NA,NA,NA,NA,NA,NA,,,
B3.BROHOR.1,NA,NA,NA,NA,NA,NA,NA,,,
B3.CORFIL.1,2023-02-14,February,BW/RA,2.5,5,3.00,2.50,,,
B3.BROMAD.1,NA,NA,NA,NA,NA,NA,NA,,,
B3.CALMEN.1,NA,NA,NA,NA,NA,NA,NA,,,
B3.MICCAL.1,2023-02-14,February,BW/RA,2,22,1.25,1.50,,,
