sample,total.leaf.area,Date,Plant_ID,Sp_Code,Plot
G1AVEBAR1_20230422,25.82,2023-04-22,G1.AVEBAR.1,AVEBAR,G1
G2AVEBAR1_20230422,11.382,2023-04-22,G2.AVEBAR.1,AVEBAR,G2
G3AVEBAR2_20230422,12.086,2023-04-22,G3.AVEBAR.2,AVEBAR,G3
G4AVEBAR2_20230422,9.97,2023-04-22,G4.AVEBAR.2,AVEBAR,G4
G5AVEBAR2_20230422,30.621,2023-04-22,G5.AVEBAR.2,AVEBAR,G5
G8AVEBAR1_20230421,27.724,2023-04-21,G8.AVEBAR.1,AVEBAR,G8
H3AVEBAR2_20230421,10.633,2023-04-21,H3.AVEBAR.2,AVEBAR,H3
H4AVEBAR2_20230421,6.599,2023-04-21,H4.AVEBAR.2,AVEBAR,H4
H5AVEBAR2_20230421,22.431,2023-04-21,H5.AVEBAR.2,AVEBAR,H5
H7AVEBAR2_20230421,10.776,2023-04-21,H7.AVEBAR.2,AVEBAR,H7
H8AVEBAR2_20230421,16.561,2023-04-21,H8.AVEBAR.2,AVEBAR,H8
I1AVEBAR2_20230421,10.042,2023-04-21,I1.AVEBAR.2,AVEBAR,I1
I2AVEBAR2_20230421,25.018,2023-04-21,I2.AVEBAR.2,AVEBAR,I2
I3AVEBAR2_20230421,17.098,2023-04-21,I3.AVEBAR.2,AVEBAR,I3
I4AVEBAR2_20230421,37.273,2023-04-21,I4.AVEBAR.2,AVEBAR,I4
I7AVEBAR2_20230421,26.86,2023-04-21,I7.AVEBAR.2,AVEBAR,I7
J1AVEBAR2_20230421,22.496,2023-04-21,J1.AVEBAR.2,AVEBAR,J1
J3AVEBAR2_20230421,30.563,2023-04-21,J3.AVEBAR.2,AVEBAR,J3
J4AVEBAR2_20230421,10.1,2023-04-21,J4.AVEBAR.2,AVEBAR,J4
J5AVEBAR2_20230421,10.325,2023-04-21,J5.AVEBAR.2,AVEBAR,J5
J6AVEBAR2_20230421,27.435,2023-04-21,J6.AVEBAR.2,AVEBAR,J6
J7AVEBAR2_20230421,22.543,2023-04-21,J7.AVEBAR.2,AVEBAR,J7
J8AVEBAR2_20230421,29.501,2023-04-21,J8.AVEBAR.2,AVEBAR,J8
A2BROARE2_20230324,10.045,2023-03-24,A2.BROARE.2,BROARE,A2
A4BROARE2_20230324,14.072,2023-03-24,A4.BROARE.2,BROARE,A4
B8BROARE2_20230324,6.591,2023-03-24,B8.BROARE.2,BROARE,B8
C6BROARE2_20230324,6.5,2023-03-24,C6.BROARE.2,BROARE,C6
C7BROARE2_20230324,7.187,2023-03-24,C7.BROARE.2,BROARE,C7
D3BROARE2_20230324,6.661,2023-03-24,D3.BROARE.2,BROARE,D3
D5BROARE2_20230324,10.215,2023-03-24,D5.BROARE.2,BROARE,D5
E2BROARE2_20230324,6.009,2023-03-24,E2.BROARE.2,BROARE,E2
E4BROARE2_20230324,6.946,2023-03-24,E4.BROARE.2,BROARE,E4
F2BROARE2_20230324,8.02,2023-03-24,F2.BROARE.2,BROARE,F2
F7BROARE2_20230324,6.003,2023-03-24,F7.BROARE.2,BROARE,F7
G4BROARE2_20230324,6.844,2023-03-24,G4.BROARE.2,BROARE,G4
H3BROARE2_20230324,11.125,2023-03-24,H3.BROARE.2,BROARE,H3
I3BROARE2_20230324,6.843,2023-03-24,I3.BROARE.2,BROARE,I3
J4BROARE2_20230324,8.267,2023-03-24,J4.BROARE.2,BROARE,J4
J7BROARE2_20230324,5.621,2023-03-24,J7.BROARE.2,BROARE,J7
A1BRODIA2_20230429,9.902,2023-04-29,A1.BRODIA.2,BRODIA,A1
A2BRODIA2_20230429,15.294,2023-04-29,A2.BRODIA.2,BRODIA,A2
A3BRODIA2_20230428,9.856,2023-04-28,A3.BRODIA.2,BRODIA,A3
A4BRODIA2_20230430,11.968,2023-04-30,A4.BRODIA.2,BRODIA,A4
A5BRODIA2_20230430,9.305,2023-04-30,A5.BRODIA.2,BRODIA,A5
A6BRODIA2_20230430,14.084,2023-04-30,A6.BRODIA.2,BRODIA,A6
